Index,Question,Response,Answer,Accuracy
10,"Yo, so this 33-year-old chick has been dealing with lower belly pains, diarrhea, feeling bloated, and a bit queasy for like 4 months now. She's also lost some weight (11 lbs to be exact) and feels like she can't fully take a dump. She's healthy otherwise, eats lots of fiber, and her dad is Ashkenazi Jewish. She seems fine during her check-up, with a normal temp, pulse, and blood pressure. Lungs and heart sound okay, but her tummy is a bit tender in the lower right side. Stool test came back negative for hidden blood. Her blood work shows low hemoglobin, high white blood cell and platelet counts, and a fast erythrocyte sedimentation rate. Barium enema showed ulcers and narrowing in the right colon. What's the most likely diagnosis here?","1. Crohn's disease: Given the symptoms of lower belly pains, diarrhea, bloating, weight loss, and the findings of ulcers and narrowing in the right colon on the barium enema, Crohn's disease is the most likely diagnosis. The elevated white blood cell counts, high erythrocyte sedimentation rate, and family history of Ashkenazi Jewish descent are also indicative of Crohn's disease.

2. Ulcerative colitis: Although the presentation is more consistent with Crohn's disease, ulcerative colitis is another possibility due to the abdominal symptoms and findings of ulcers on the barium enema. However, the presence of ulcers and narrowing in the right colon makes Crohn's disease more likely.

3. Irritable bowel syndrome (IBS): IBS can present with similar symptoms such as lower belly pains, bloating, and changes in bowel habits. However, the significant weight loss, abnormal blood work, and imaging findings make IBS less likely in this case.",Crohn disease,Accurate.
11,"Dude, the guy who fell off a two-story building is recovering from a massive brain surgery. He's hooked up on a ventilator and getting fluids through IV. What should we do now to make sure he's getting the right nutrition to recover well?","1. Consult with a registered dietitian or nutritionist who can assess the patient's nutritional needs and develop a personalized feeding plan to ensure adequate intake of essential nutrients for recovery.

2. Consider starting enteral nutrition (tube feeding) if the patient is unable to eat by mouth and their gut is functional. Enteral nutrition can provide a well-balanced diet directly into the stomach or small intestine.

3. Monitor the patient's weight, laboratory values, and clinical status regularly and make adjustments to the nutrition plan as needed to support the healing process.",Enteral feeding via nasogastric tube,Relevant
12,"Yo, this kid keeps getting this super itchy rash on his knees, elbows, and eyelids. His skin and hair look kinda pale, and he's giving off a funky smell in his sweat and pee. His mom says this rash has been coming and going since he was a baby. What kind of grub should we suggest for him based on all this?","1. Iron-rich foods such as red meat, poultry, fish, lentils, and fortified cereals to address the possibility of iron deficiency anemia.
2. Foods high in omega-3 fatty acids like salmon, walnuts, and flaxseeds to help with skin inflammation.
3. Probiotic-rich foods like yogurt to potentially improve gut health and reduce skin irritations.",Avoid meat,Accurate
13,"Yo, so like this dude's old and he's been dealing with high blood pressure for like forever and is taking a bunch of meds for it. His BP is 150/100 mm Hg and everything else seems normal. The heart test showed some stuff going on in the left ventricle. What's up with that?","*1*1. The left ventricle may be experiencing hypertrophy due to the long-term high blood pressure. This is a common adaptation the heart makes to pump against increased resistance from high blood pressure.
*2*2. The left ventricle may be showing signs of diastolic dysfunction, which is a common complication of untreated or poorly controlled high blood pressure. This occurs when the heart is unable to relax properly between contractions, affecting its ability to fill with blood.
*3*3. The left ventricle may be showing signs of concentric remodeling, which is another adaptation the heart makes to prolonged high blood pressure. This involves thickening of the ventricular walls without enlargement of the chamber size.",Increase in cardiac cell size,Relevant
14,"Yo, how did this dude most likely get this condition?","1. Genetic predisposition
2. Environmental factors
3. Lifestyle choices",Fecal-oral,Inaccurate
15,"Yo, so this 5-year-old dude just moved from Nebraska and his mom's worried about his development 'cause he can only say short sentences and is behind on his ABCs. He's always zoning out and seems to be lagging. All he wants to do is play with his cars. Physically, he's well-fed but with weak eye contact, a noticeable jaw, a single crease in his palm, and big balls. What's the deal with this kid's situation?","1. He may have Fragile X syndrome, a genetic disorder that can cause delays in speech and language development, as well as intellectual disability. Children with Fragile X syndrome may also exhibit social anxiety, poor eye contact, and hyperactivity, as well as physical features such as a prominent jaw, single crease in the palm, and macroorchidism (enlarged testicles). The child's preference for playing with cars can also indicate repetitive behaviors, which are common in Fragile X syndrome.

2. Autism spectrum disorder (ASD) is another possibility given his delayed language skills, preference for solitary play with objects, and zoning out behavior. Children with ASD may also exhibit weak eye contact and repetitive behaviors. However, the physical features described (such as a prominent jaw and macroorchidism) are more characteristic of Fragile X syndrome.

3. Developmental delay could be a broad explanation for the child's symptoms, including delays in speech, language, and cognitive development. However, the combination of physical features described, along with the specific behavioral traits, make a syndromic condition like Fragile X syndrome or ASD more likely in this case.",CGG trinucleotide repeat expansion,Relevant
16,"Yo, dude, this 65-year-old guy with a lot of health stuff going on shows up at the ER with shortness of breath and chest pain that's been getting worse for the past 3 days. He's been coughing up stinky mucus for a week too. This dude has gastritis, advanced Parkinson's, used to smoke a pack a day for 40 years (but quit 5 years ago), and had a long history of heavy drinking (also quit drinking 5 years ago). He's running a fever of 39.3°C, and his oxygen level is low at 77% on room air. His lung sounds are not good on the right upper side. The guy's labs show a high white blood cell count, low hemoglobin, and high lactic acid levels. The chest x-ray shows something in his right upper lung. Out of all that, what's the biggest reason for his breathing problems?","1. Pneumonia: Given the patient's symptoms of shortness of breath, chest pain, productive cough, fever, and abnormal lung sounds on exam, along with the finding on chest x-ray of a lung infiltrate, pneumonia is the most likely cause.

2. Aspiration Pneumonia: Considering the patient's history of Parkinson's disease and possible impaired swallowing function, he may have aspirated (inhaled) oral or gastric contents leading to aspiration pneumonia. This can explain the presence of stinky mucus, fever, and abnormal lung sounds.

3. Chronic Obstructive Pulmonary Disease (COPD) exacerbation: The patient's history of long-term smoking, although he quit 5 years ago, puts him at risk for COPD. However, the rapid progression of symptoms over the past 3 days, along with the fever and abnormal chest x-ray findings, make pneumonia a more likely diagnosis in this acute setting.","Parkinson disease
""",Relevant.
17,"Yo, this dude got shanked and now he's in the ER. The doc checked him out and found a 4-cm cut on his right forearm. The MRI shows a nerve messed up between some muscles. Which part of his arm is probably numb now?","*1* The ulnar nerve is most likely affected, leading to numbness on the ulnar side of the forearm and hand.
*2* The radial nerve is the second most likely nerve that could be affected, leading to numbness on the back of the hand and forearm.
*3* The median nerve is the third most likely nerve that could be affected, leading to numbness on the palm side of the hand.",Fingertip of the index finger,Relevant
18,"Yo, so this dude hasn't been feeling too hot for like 4 months now - super tired and not hungry at all. He had a kidney transplant from a fam member 5 years back and now takes sirolimus and mycophenolate. His blood pressure is a bit high at 150/95. Tests show he has anemia and a creatinine level of 3.1 mg/dL, which is higher than 6 months ago when everything was chill. What's probably causing his creatinine levels to spike like that?","*1* The most plausible reason for the spike in creatinine levels in this patient who has had a kidney transplant and is taking immunosuppressive medications like sirolimus and mycophenolate is *tacrolimus toxicity*. Tacrolimus is another immunosuppressive drug commonly used after kidney transplant, and levels of the medication need to be carefully monitored to prevent toxicity, which can lead to kidney damage.

*2* Another possible reason for the elevated creatinine levels could be *renal artery stenosis*. This is a condition where the arteries supplying blood to the kidneys become narrowed, leading to decreased blood flow and potential kidney damage. Given that the patient's blood pressure is high, this could be a contributing factor to his kidney function issues.

*3* A third plausible reason for the spike in creatinine levels in this patient could be *acute rejection of the transplanted kidney*. Even though the transplant was done 5 years ago, rejection can still occur at any time. The combination of anemia, elevated creatinine levels, and a history of kidney transplant raises concerns for potential rejection as a cause of his symptoms.",CD4+ T cell-mediated intimal smooth muscle proliferation,Relevant
19,You at risk for what probz in the long run after taking those folate supplements and seeing those lab changes?,"*1* You may be at risk for masking a vitamin B12 deficiency. Folate supplementation can improve certain lab values but not correct the deficiency itself, leading to the possibility of neurological damage from untreated B12 deficiency.

*2* You may be at risk for hyperhomocysteinemia. Folate supplementation can lower homocysteine levels in the body, but if other nutrients like B12 and B6 are deficient, it can lead to high levels of homocysteine which increases the risk of cardiovascular disease.

*3* You may be at risk for developing hypothyroidism. High levels of folate in the body have been associated with interfering with the absorption of thyroid medication or affecting thyroid function in individuals with underlying thyroid conditions.",Peripheral neuropathy,Relevant
20,"Hey, so this 30-year-old chick gained like 5 kg (11 lb) in the past 3 months, is feeling mad constipated, always cold, and noticed her hair is thinning. She's been taking the pill for a few months and is on point with it. Her vitals are all good and her lab results show:
Total T4: 25 ug/dL
Free T4: 0.8 ng/dL
TSH: 0.2 mU/L
What's the main way the pill she's taking is messing with her body to cause these symptoms?","*1* 1. The birth control pill may be causing an increase in thyroid binding globulin (TBG), leading to an increase in total T4 levels while the free T4 (biologically active form) remains normal. This can result in symptoms of hypothyroidism, such as weight gain, constipation, feeling cold, and hair thinning.

*2* 2. The pill might be interfering with the conversion of T4 (inactive form) to T3 (active form) in the body, leading to a decrease in free T4 levels and subsequently causing symptoms of hypothyroidism.

*3* 3. The pill may be affecting the feedback loop of the hypothalamic-pituitary-thyroid axis, resulting in a low TSH level despite low free T4 levels. This can create symptoms of hypothyroidism due to inadequate stimulation of the thyroid gland.",Inhibition of hormones in the pituitary gland,Relevant
21,"Yo, so like, this dude is 62 and he's having trouble sleeping. He keeps waking up all night and then gets up way too early feeling tired af. This has been going on for 7 months now and he's tired of it. He's dealing with high blood pressure and an enlarged prostate but never smoked and doesn't drink alcohol or caffeine before bed. His temp is 36.6°C (97.8°F), BP is 130/80, and heart rate is 77/min. Physical exam is normal. We talked about improving his sleep habits, so what's the next move for helping him out?","1. Consider conducting a sleep study to evaluate for sleep disorders such as sleep apnea. Sleep apnea is a common condition in older adults and can disrupt sleep, leading to poor quality sleep and daytime fatigue.

2. Discuss the possibility of medication-induced insomnia, especially if the patient is taking medications for his high blood pressure or other conditions. Some medications can disrupt sleep patterns and cause insomnia.

3. Screen for depression or anxiety, as these mental health conditions can also contribute to insomnia. It is important to address any underlying psychological factors that may be affecting the patient's sleep.",Zolpidem,Inaccurate.
22,"Yo, so like, what kind of antibiotic would make these bacteria swell up and burst after being in a hypotonic saline solution?","1. **Penicillin**: Penicillin acts by inhibiting the synthesis of the bacterial cell wall, causing the bacteria to weaken and burst in a hypotonic environment.
2. **Cephalosporins**: Cephalosporins also target the bacterial cell wall, leading to a similar effect in a hypotonic environment.
3. **Vancomycin**: Vancomycin is a glycopeptide antibiotic that disrupts cell wall synthesis, potentially leading to bursting in a hypotonic saline solution, but it is not as effective as penicillin or cephalosporins in this regard.",Cephalosporin,Accurate.
23,"Yo, so this 12-year-old dude wiped out on his bike and hurt his right wrist bad. The doc checked him out and noticed he's tender between his extensor pollicis longus and extensor pollicis brevis. Which bone do you think got messed up?","1. Scaphoid bone
2. Lunate bone
3. Radius",Scaphoid,Relevant
24,"Yo, there's this 2-week-old dude at the pediatric clinic who was born with chorioretinitis and brain issues from an infection while still in the womb. There's a drug that can help prevent this infection. What other germ can this same drug protect against?","*1* The drug can also protect against toxoplasmosis, caused by the parasite Toxoplasma gondii.

*2* The drug can protect against cytomegalovirus (CMV) infection.

*3* The drug can protect against syphilis, caused by the bacterium Treponema pallidum.",Pneumocystitis jiroveci,accurate
25,"Yo, so like, what's the name of the fungus that's gotten into this dude after his lung transplant?","*1* The most plausible answer is Aspergillus fumigatus, a common fungus responsible for causing infections in immunocompromised individuals, such as those who have undergone solid organ transplants.

*2* Candida albicans, another common fungal pathogen that can cause infections in immunocompromised individuals, including those who have had solid organ transplants.

*3* Pneumocystis jirovecii, a fungus that can cause pneumonia in immunocompromised individuals, but it is more commonly associated with HIV/AIDS patients and not specifically lung transplant recipients.",Coccidioides species,Accurate
26,Is it possible that this lil baby's symptoms could be due to a certain condition with these lab results?,"1. **Yes**, the symptoms could be due to a certain condition based on the lab results.
2. **No**, the symptoms are unlikely to be due to a specific condition indicated by the lab results.
3. **It is possible, but more information and further testing would be needed to confirm a diagnosis**.",Inability of the distal tubule to secrete H+,Relevant
27,"Yo, so this 29-year-old has been MIA from her period and can't breastfeed for the past 5 months! She's feeling mega tired ever since having her baby, and now she can't handle the cold even though she was fine before getting preggo. Oh, and she's packed on an extra 5 pounds post-delivery. Her birth was rough with lots of blood loss and low blood pressure. So, which hormone level is prob still chill in this situation?","*1* Prolactin levels might be normal in this situation. 

*2* Thyroid hormone levels may be dysregulated, leading to symptoms of fatigue, cold intolerance, and weight gain. 

*3* Cortisol levels may also be imbalanced due to the stress of pregnancy and delivery, potentially contributing to fatigue and weight gain.",Aldosterone,Relevant
28,"Yo, this little dude was born and his mom had some symptoms during pregnancy. What congenital heart issue is he most likely dealing with based on this info and the retinal exam in the pic?","Based on the information provided and the retinal exam in the picture showing a cherry-red spot, the most likely congenital heart issue the child is dealing with is:

*1* - Tay-Sachs disease, a rare genetic disorder that results in the deficiency of an enzyme necessary to break down lipids in nerve cells. This leads to progressive neurological deterioration and a cherry-red spot on the retina is a classic finding in the infantile form of Tay-Sachs disease.

*2* - Fabry disease, a rare genetic disorder that results in the build-up of a particular type of fat in the body's cells. It can lead to various symptoms including kidney problems and heart issues, but it is not commonly associated with a cherry-red spot on the retina.

*3* - Gaucher disease, a rare genetic disorder that results in the build-up of fatty substances in cells and certain organs. It can lead to an enlarged liver and spleen, but it is not commonly associated with a cherry-red spot on the retina.",Patent ductus arteriosus,Inaccurate
29,"Yo, do you know what's up with this rough, scaly patch on this lady's hand? Any guesses on the diagnosis?","*1* This rough, scaly patch on the lady's hand could potentially be a symptom of eczema (also known as atopic dermatitis), a common skin condition characterized by dry, itchy, and inflamed skin. The scaly appearance could be from the skin drying out and thickening in response to inflammation.

*2* Another possibility could be psoriasis, which is a chronic autoimmune condition that causes rapid skin cell growth, resulting in thick, scaly patches on the skin.

*3* Lastly, it may also be a manifestation of contact dermatitis, which occurs when the skin comes into contact with an irritant or allergen, leading to skin irritation, redness, and scaling.",Actinic keratosis,Relevant
30,"Hey, 34-year-old lady feeling exhausted lately, gaining 7 pounds, and dealing with constipation, muscle pains, and feeling extra chilly. Doc found delayed reflexes. Vital signs seem alright. What's the best test to start figuring this out?","1. Comprehensive thyroid panel to check for hypothyroidism, given the symptoms of weight gain, constipation, muscle pains, feeling chilly, and delayed reflexes.
2. Complete blood count (CBC) to check for anemia or other blood disorders that may cause fatigue, muscle pain, and weight gain.
3. Basic metabolic panel (BMP) to check for any electrolyte imbalances that could be causing fatigue and muscle weakness.",Serum TSH,Relevant
31,"Yo, when does our body naturally make nesiritide, the human version?","*1* Our body does not naturally produce nesiritide, as it is a synthetic form of a normal human protein called B-type natriuretic peptide (BNP).

*2* B-type natriuretic peptide (BNP) is primarily produced in the ventricles of the heart in response to increased pressure or volume overload.

*3* Nesiritide is a recombinant form of B-type natriuretic peptide (BNP) that is used as a medication for the treatment of acute decompensated heart failure.",Increased ventricular stretch,Relevant
32,"Yo, dude's 31 and has bipolar disorder. He's been struggling with getting hard for the past month, can't keep it up during sex and rarely gets morning wood. He's cool with his relationship but has noticed his sex drive's down and feels awkward about his performance. Dude injured his lower back a year ago in a car crash. He's on meds for bipolar but doesn't know which ones. Doc finds his balls are small, but everything else down there seems normal. What's likely causing his symptoms?","1. Hypogonadism: Given the presentation of small testicles, low libido, erectile dysfunction, and the history of a car crash that could have possibly resulted in testicular trauma, hypogonadism appears to be the most likely cause of his symptoms.

2. Side effects of bipolar medication: The medication being taken for bipolar disorder could also be contributing to his erectile dysfunction and reduced libido. Certain medications used to manage bipolar disorder, such as antipsychotics and mood stabilizers, can impact sexual functioning.

3. Lumbar spine injury: The lower back injury from the car crash may be affecting the nerves that control sexual function. Damage to the lumbar spine can sometimes lead to erectile dysfunction and reduced libido. It is important to explore the potential impact of this injury on his symptoms.",Decreased testosterone levels,Accurate
33,"Yo, so this dude in his late 50s rolls into the ER after dealing with fevers for like a week straight. He's been feeling weak and out of breath too. Can't really remember his heart probs in the past. Been jobless for a hot minute and sometimes slept on the streets. Doc finds some weird stuff like nail bleeding and painful spots on his fingers and toes. Culture tests show Streptococcus gallolyticus. Which of these is probably linked to his illness?","1. Infective endocarditis 
2. Septicemia
3. Pneumonia",Left-sided colon cancer,Inaccurate
34,"Yo, which vaccination could have probs prevented all these issues for the newborn whose mom skipped out on prenatal care and vax because she’s all about ""natural immunity""?","1. **Tetanus, Diphtheria, and Pertussis (Tdap) vaccine:** This would be the most crucial vaccination to prevent issues in a newborn as pertussis (whooping cough) can be severe in young infants and lead to significant morbidity and mortality. 
2. **Influenza vaccine:** Influenza can also be severe in newborns, and vaccination during pregnancy can protect both the mother and the newborn. 
3. **Measles, Mumps, and Rubella (MMR) vaccine:** While this vaccine is important for overall immunity, it may not be as urgent in preventing issues in a newborn compared to the Tdap and influenza vaccines in this scenario.",Undercooked pork,Inaccurate.
35,"Yo, so this dude is 65 and has a fam history of colon cancer. They found a lil' 4 mm polyp during a colonoscopy. Which biopsy result is least likely to turn into colorectal cancer?","*1* Hyperplastic polyp
*2* Inflammatory polyp
*3* Sessile serrated adenoma",Hyperplastic epithelium at the base of crypts,Relevant
36,"Yo, a 53-year-old woman rocks up to the ER saying she feels weak and has been dealing with belly pain for a whole day. She's taken three dumps with dark stool during this time. She's not puking and never had these issues before. She got her tubes tied 15 years back and deals with leg swelling, joint probs, and diabetes. Her pops passed from colon cancer at 72. She's on metformin, naproxen, calcium with D3. She had a clean colonoscopy at 50. She looks pale and sweaty. Her temp is 36°C (96.8°F), heart rate is 110/min, breaths are 20/min, BP is 90/50 mm Hg. Her O2 sat is at 98%. Her belly feels soft with slight pain in the upper part. Rectal check shows dark stool. They've hooked her up with IVs and fluids. What's the move now, doc?","1. The most plausible diagnosis would be a gastrointestinal bleed, possibly from a peptic ulcer or diverticulosis, given the symptoms of weak, dark stools, and the presence of pale appearance, tachycardia, and hypotension. The patient's age, history of leg swelling, joint problems, diabetes, and family history of colon cancer also put her at increased risk for GI bleeds.

2. In this case, a possible complication to consider could be an acute kidney injury resulting from hypoperfusion due to the hypotension seen in the patient. The combination of medications she is on, along with her medical conditions, could predispose her to renal issues.

3. It would also be important to rule out other possible causes of upper abdominal pain and dark stools, such as pancreatitis or even an aortic dissection, given the patient's age and risk factors. Additional diagnostic tests, such as blood work for pancreatic enzymes and imaging studies, may be warranted.",Esophagogastroduodenoscopy,Relevant
37,"Yo, this older dude comes in complaining of pain while walking. The worst is in his left big toe but he also feels it in his hips and knees. He says it's worse when he's up and about but gets better when he chills out. This pain has been getting worse over the past few years. His health history includes being obese, having type 2 diabetes, smoking, and high blood pressure. Plus, he's downing about ten brewskis a day. He's on metformin, insulin, lisinopril, and hydrochlorothiazide. Dude recently went to Bangkok and admits to unprotected action. During a check-up, his lower body hurts when touched. There's some crackling in his hip when he moves his thigh back and forth. What do you think is the most likely diagnosis here?","1. Gout: This older individual presents with symptoms consistent with gout, such as pain in his left big toe (a common location for gout), worsening pain while walking, and improvement when at rest. The presence of obesity, type 2 diabetes, high blood pressure, and excessive alcohol consumption are all risk factors for gout. The recent unprotected sexual activity may have also put him at risk for contracting certain infections that could trigger gout. The tenderness and crackling in the hip could suggest joint involvement commonly seen in gout.

2. Osteoarthritis: Osteoarthritis is another possible diagnosis given the patient's age, obesity, and chronic pain that worsens with activity. Osteoarthritis commonly affects weight-bearing joints like the knees and hips, which aligns with the patient's symptoms. The crackling in the hip joint could also be indicative of osteoarthritis.

3. Peripheral artery disease (PAD): Considering the patient's smoking history, diabetes, and increasing pain with activity (claudication), PAD is another plausible diagnosis. The pain in the lower extremities that improves with rest is characteristic of PAD. The history of high blood pressure can also be a contributing risk factor for PAD. Touch sensitivity in the lower body could suggest compromised blood flow as seen in PAD.",Osteoarthritis,Relevant
38,"Yo, so this healthy 30-year-old dude has been dealing with weird bumps on his elbows for like 2 weeks now. He's never really been sick before and doesn't take any meds. The doc saw these bumps during the exam. They even showed a pic of his right elbow. What's the best way to treat his skin probs?","*1* The most likely diagnosis for the bumps on the elbows is a condition called *psoriasis*. This is a chronic skin condition that can cause red, raised patches with silvery scales. It commonly affects the elbows and knees. Treatment usually involves topical corticosteroids, moisturizers, and phototherapy.

*2* Another possibility could be *contact dermatitis*, which is inflammation of the skin caused by contact with irritants or allergens. Treatment involves identifying and avoiding the triggering substance, along with topical corticosteroids and antihistamines if needed.

*3* A less likely but possible diagnosis might be *eczema*, which can cause red, itchy, and inflamed skin. Treatment includes moisturizers, corticosteroids, and avoiding triggers like harsh soaps or allergens.",Calcipotriene,Relevant.
