Index,Question,Response,Answer,Accuracy
10,"A 23-year-old man comes to the physician because of progressive pain, redness, and swelling of his left forearm. The symptoms began after he scratched his arm on a metal table 4 days ago. Examination of the left forearm shows a 2-cm, tender, erythematous, fluctuant lesion at the site of trauma. Incision and drainage of the lesion is performed and a small amount of thick, white liquid is expressed. Which of the following cytokines is involved in the recruitment of the primary cell type found in this liquid?",IL-8,IL-8,accurate
11,"A 66-year-old man is brought to the emergency department after a motor vehicle accident. The patient was a restrained passenger in a car that was struck on the passenger side while crossing an intersection. In the emergency department, he is alert and complaining of abdominal pain. He has a history of hyperlipidemia, gastroesophageal reflux disease, chronic kidney disease, and perforated appendicitis for which he received an interval appendectomy four years ago. His home medications include rosuvastatin and lansoprazole. His temperature is 99.2°F (37.3°C), blood pressure is 120/87 mmHg, pulse is 96/min, and respirations are 20/min. He has full breath sounds bilaterally. He is tender to palpation over the left 9th rib and the epigastrium. He is moving all four extremities. His FAST exam reveals fluid in Morrison's pouch.

This patient is most likely to have which of the following additional signs or symptoms?",Left shoulder pain.,Shoulder pain,Accurate
12,"A drug discovery team is conducting research to observe the characteristics of a novel drug under different experimental conditions. The drug is converted into the inactive metabolites by an action of an enzyme E. After multiple experiments, the team concludes that as compared to physiologic pH, the affinity of the enzyme E for the drug decreases markedly in acidic pH. Co-administration of an antioxidant A increases the value of Michaelis-Menten constant (Km) for the enzyme reaction, while co-administration of a drug B decreases the value of Km. Assume the metabolism of the novel drug follows Michaelis-Menten kinetics at the therapeutic dose, and that the effects of different factors on the metabolism of the drug are first-order linear. For which of the following conditions will the metabolism of the drug be the slowest?",The metabolism of the drug will be the slowest in acidic pH with co-administration of antioxidant A.,"Acidic pH, co-administration of antioxidant A, no administration of drug B",accurate
13,"A 34-year-old G5P5 woman gave birth to a healthy infant 30 minutes ago by vacuum-assisted vaginal delivery and is now experiencing vaginal bleeding. The placenta was delivered spontaneously and was intact upon examination. The infant weighed 5.2 kg and had Apgar scores of 8 and 9. No perineal tear or intentional episiotomy occurred. The patient has type 1 diabetes. She had good glycemic control throughout her pregnancy. She took a prenatal vitamin daily. Blood pressure is 135/72 mmHg, pulse is 102/min, and respirations are 18/min. Upon physical examination, the uterine fundus is soft and palpated 4 cm above the umbilicus. There are 3-cm blood clots on the patient’s bed pad. Which of the following is the next best step in management for the patient’s bleeding?",Uterine massage.,Perform uterine massage and administer oxytocin,Relevant.
14,"A 59-year-old presents with right-sided hemiparesis, right-sided sensory loss, leftward eye deviation, and slurred speech. A head CT is performed which is significant for a hyperdense lesion affecting the putamen. The patient has a history of hypertension treated with hydrochlorothiazide, but is non-adherent. Which of the following is most likely associated with the cause of this patient’s neurological deficits?",Chronic hypertension.,Vessel lipohyalinosis and microaneurysm formation,relevant
15,"An otherwise healthy 42-year-old man undergoes routine investigations prior to blood donation. His complete blood count is shown:
Hemoglobin 9.3 g/dL
Mean corpuscular volume (MCV) 71 μm3
Mean corpuscular hemoglobin (MCH) 21 pg/cell
White blood cell count 8,200/mm3
Platelet count 317,000/mm3
Iron studies are shown:
Serum iron 210 μg/dL
Serum ferritin 310 ng/mL
Total iron binding capacity (TIBC) 290 μg/dL
Transferrin saturation 78%
He occasionally drinks alcohol and denies smoking or use of illicit drugs. There is a family history of anemia including his brother and maternal uncle. Examination shows conjunctival pallor, but is otherwise unremarkable. Which of the following is the most likely diagnosis?",Beta-Thalassemia Trait,Sideroblastic anemia,Inaccurate
16,An investigator is studying the genetic profile of an isolated pathogen that proliferates within macrophages. The pathogen contains sulfatide on the surface of its cell wall to prevent fusion of the phagosome and lysosome. She finds that some of the organisms under investigation have mutations in a gene that encodes the enzyme required for synthesis of RNA from a DNA template. The mutations are most likely to reduce the therapeutic effect of which of the following drugs?,Rifampin,Rifampin,accurate
17,"A 32-year-old man who recently emigrated from Somalia comes to the physician because of a 4-week history of fever, cough, and chest pain. He has had a 5-kg (11-lb) weight loss over the last 3 months despite no changes in appetite. His temperature is 38.1°C (100.6°F). Physical examination shows enlarged cervical lymph nodes. The lungs are clear to auscultation. The results of an interferon-γ release assay are positive. An x-ray of the chest shows bilateral mediastinal lymphadenopathy. A transbronchial needle aspiration biopsy of a mediastinal lymph node is performed; a photomicrograph of the specimen is shown. The structure indicated by the arrow is most likely comprised of which of the following types of cells?",Epitheloid macrophages and multinucleated giant cells.,Macrophages,Relevant
18,A 67-year-old male presents to his primary care physician complaining of left hip pain for the past six months. He denies any trauma or recent falls. He is accompanied by his wife who reports that he has experienced progressive hearing loss over the same time period. The patient has also noticed that he is no longer able to fit into his favorite hat even though it previously fit well. A radiograph of the patient’s pelvis is shown. Which of the following laboratory abnormalities is most likely to be found in this patient?,Elevated alkaline phosphatase.,Elevated serum alkaline phosphatase,Accurate
19,"A 64-year-old woman comes to the physician for a follow-up examination. She has had difficulty reading for the past 6 months. She tried using multiple over-the-counter glasses with different strengths, but they have not helped. She has hypertension and type 2 diabetes mellitus. Current medications include insulin and enalapril. Her temperature is 37.1°C (98.8°F), pulse is 80/min, and blood pressure is 126/84 mm Hg. The pupils are round and react sluggishly to light. Visual acuity in the left eye is 6/60 and in the right eye counting fingers at 6 feet. Fundoscopy shows pallor of the optic disc bilaterally. The cup-to-disk ratio is 0.7 in the left eye and 0.9 in the right eye (N = 0.3). Which of the following is the most likely diagnosis?",Primary open-angle glaucoma.,Open-angle glaucoma,accurate
