Index,Question,Response,Answer,Accurate
10,"A patient comes to the physician because of a 4-month history of intermittent lower abdominal cramps associated with diarrhea, bloating, and mild nausea. During this period, there has been a 5-kg (11-lb) weight loss. The patient feels unable to fully empty their bowels. There is no history of serious illness. The patient has a high-fiber diet. One parent is of Ashkenazi Jewish descent. The patient appears well. Temperature is 36.9°C (98.5°F), pulse is 90/min, and blood pressure is 130/90 mm Hg. The lungs are clear to auscultation. Cardiac examination shows no murmurs, rubs, or gallops. Abdominal examination reveals mild tenderness to palpation in the right lower quadrant without guarding or rebound. Bowel sounds are normal. Test of the stool for occult blood is negative. Hemoglobin concentration is 10.5 g/dL, leukocyte count is 12,000 mm3, platelet count is 480,000 mm3, and erythrocyte sedimentation rate is 129 mm/h. A barium enema shows ulceration and narrowing of the right colon. Which of the following is the most likely diagnosis?","The patient's presentation of intermittent lower abdominal cramps, diarrhea, bloating, mild nausea, weight loss, incomplete bowel evacuation, and findings on physical examination and laboratory tests suggest a digestive system disorder. Key features to consider include:

1. **Family History and Genetic Predisposition**: The patient's Ashkenazi Jewish ancestry increases the risk for certain gastrointestinal diseases, particularly inflammatory bowel disease (IBD).

2. **Chronic Symptoms**: The 4-month history of symptoms along with weight loss points towards a chronic condition rather than an acute one.

3. **Physical and Laboratory Findings**:
   - Mild tenderness in the right lower quadrant.
   - Elevated leukocyte count and erythrocyte sedimentation rate (ESR), indicating inflammation.
   - Anemia (hemoglobin concentration of 10.5 g/dL).
   - High platelet count (thrombocytosis).
   
4. **Barium Enema Findings**: The presence of ulceration and narrowing in the right colon are significant.

Given these factors, the most likely diagnosis is **Crohn's disease**, which is a type of inflammatory bowel disease. This condition often affects the end of the small intestine (ileum) and the beginning of the colon but can involve any part of the gastrointestinal tract. It is characterized by patchy areas of inflammation, which may cause symptoms like those described.

Crohn's disease can present with:
- Right lower quadrant pain.
- Chronic diarrhea.
- Unintended weight loss.
- Anemia due to intestinal bleeding or malabsorption.
- High ESR and elevated white blood cell count indicating inflammation.
- The endoscopic or radiologic finding of ulcers and narrowing due to transmural inflammation.

Thus, the patient's clinical presentation and investigative findings are highly suggestive of **Crohn's disease**. Further diagnostic evaluations such as endoscopy with biopsy would be essential to confirm this diagnosis and to rule out other conditions.",Crohn disease,Yes
11,"Three days after being admitted to the hospital because of a fall from the roof of a two-story building, a patient is being monitored in the intensive care unit. On arrival, the patient was somnolent and not oriented to person, place, or time. A CT scan of the head showed an epidural hemorrhage that was 45 cm3 in size and a midline shift of 7 mm. Emergency surgery was performed with craniotomy and hematoma evacuation on the day of admission. Perioperatively, a bleeding vessel was identified and ligated. Postoperatively, the patient was transferred to the intensive care unit and placed on a ventilator. The patient's temperature is 37°C (98.6°F), pulse is 67/min, and blood pressure is 117/78 mm Hg. The ventilator is set at a FiO2 of 55%, tidal volume of 520 mL, and positive end-expiratory pressure of 5.0 cm H2O. In addition to intravenous administration of fluids, which of the following is the most appropriate next step in managing this patient's nutrition?","In critically ill patients, especially those with significant brain injuries such as this patient who is recovering postoperatively from a craniotomy for epidural hematoma, early initiation of nutritional support is crucial for optimal recovery. This is because nutritional support helps to maintain metabolic function, preserve muscle mass, support immune function, and promote healing.

For this patient in the intensive care unit (ICU) on a ventilator, enteral nutrition (EN) is preferred over parenteral nutrition (PN) if the gastrointestinal tract is functional. Enteral feeding preserves gut integrity and reduces the risk of infections and other complications associated with parenteral nutrition. 

Given the clinical scenario, the most appropriate next step in managing this patient's nutrition would be **initiating enteral nutrition via a nasogastric or nasoenteric tube**. 

Here are key considerations:
1. **Begin Enteral Nutrition Early**: It is widely recommended to start EN within 24-48 hours in critically ill patients who are unable to maintain adequate oral intake. Early EN has been shown to improve outcomes.
2. **Assess Gastrointestinal Function**: Ensure there are no contraindications to starting enteral feeding such as bowel obstruction, major gastrointestinal bleeding, or severe hemodynamic instability.
3. **Monitor and Adjust**: Start with a low rate of continuous feeding and gradually increase as tolerated. Monitor for signs of feeding intolerance such as high gastric residual volumes, bloating, or diarrhea.

In summary, initiating enteral nutrition, assuming there are no contraindications, is the most appropriate next step in the nutritional management of this patient.",Enteral feeding via nasogastric tube,Yes
12,"An individual with developmental delays presents to their pediatrician’s office with an ‘itchy rash’ on the flexor surfaces of their knees, elbows, and around their eyelids. The patient's caregiver notes that the rashes have had a relapsing-remitting course since infancy. Vital signs are within normal limits. Physical examination shows hypopigmentation of the patient’s skin and hair, as well as a musty odor in their sweat and urine. Based on the patient's symptoms and history, which of the following is the most appropriate dietary recommendation?","Based on the symptoms and history presented, the most likely diagnosis for this patient is **Phenylketonuria (PKU)**. PKU is a genetic metabolic disorder characterized by a deficiency in the enzyme phenylalanine hydroxylase, which is responsible for converting the amino acid phenylalanine into tyrosine. High levels of phenylalanine can lead to a variety of symptoms including developmental delays, hypopigmentation, and a characteristic musty odor.

Given the diagnosis of PKU, the most appropriate dietary recommendation is:

**A low-phenylalanine diet.**

This involves:

1. **Restricting high-protein foods** such as meat, fish, eggs, dairy, nuts, and soy products, which are high in phenylalanine.
2. **Using special low-phenylalanine medical foods and formulas** that provide sufficient nutrition and protein substitutes without high phenylalanine content.
3. Regular monitoring of phenylalanine levels to adjust the diet as needed and ensure appropriate growth and development.

It is crucial for individuals with PKU to follow a strict low-phenylalanine diet throughout their lives to prevent the buildup of phenylalanine and its neurotoxic effects.

Regular follow-ups with a healthcare provider specialized in metabolic disorders are also important for ongoing dietary management and overall health.",Avoid meat,Yes
13,A patient presented to a medical clinic for a routine follow-up. This patient has had hypertension for 20 years and is currently on multiple anti-hypertensive medications. The blood pressure is 150/100 mm Hg. The remainder of the examinations were within normal limits. Echocardiography showed some changes in the left ventricle. What is the most likely reason for the change?,"The most likely reason for changes in the left ventricle in a patient with a 20-year history of hypertension is left ventricular hypertrophy (LVH). Hypertension causes the heart to work harder to pump blood against the higher pressure in the arteries. Over time, this increased workload can lead to the thickening of the muscular walls of the left ventricle, a condition known as LVH.

Echocardiography can reveal these changes by showing an increased thickness of the ventricular walls, which is a common adaptation to prolonged high blood pressure. Early detection and management are crucial because LVH is a risk factor for more severe cardiovascular events, including heart failure, arrhythmias, and myocardial infarction.

Continued management of blood pressure, possibly with adjustments to the anti-hypertensive medications, along with lifestyle modifications, would be essential steps in addressing this condition and preventing further cardiac complications.",Increase in cardiac cell size,Yes
14,"A construction worker presents to the office due to a yellowish discoloration of their skin and eyes for the past 2 weeks. They also complain of nausea and loss of appetite for the same duration. The past medical history is insignificant. They are a smoker, but recently have grown a distaste for smoking. The vital signs include: heart rate 83/min, respiratory rate 13/min, temperature 36.5°C (97.7°F), and blood pressure 111/74 mm Hg. On physical examination, there is mild hepatomegaly. The results of the hepatitis viral panel are as follows:
Anti-HAV IgM positive
HBsAg negative
IgM anti-HBc negative
Anti-HCV negative
HCV-RNA negative
Anti-HDV negative
Anti-HEV negative
What is the most common mode of transmission for this individual’s diagnosis?","The patient presents with jaundice, nausea, and loss of appetite, alongside physical findings of mild hepatomegaly, and has a positive anti-HAV IgM antibody, indicating an acute hepatitis A virus (HAV) infection.

Hepatitis A is primarily transmitted via the fecal-oral route. This occurs through the ingestion of contaminated food and water. In developed countries, outbreaks can frequently be traced to contaminated food items or poor sanitary conditions. In developing countries, HAV infection is more common and usually occurs in childhood due to widespread contamination of food and water.

Given that the patient is a construction worker, it is possible that they may have been exposed to HAV through contaminated food or water sources on the job site or from unsanitary living conditions if they are living in temporary housing or shared accommodations where hygiene might be compromised.

Hence, the most common mode of transmission for this individual's diagnosis of acute hepatitis A is:

**Ingestion of contaminated food or water.**",Fecal-oral,Yes
15,"A child is brought to the clinic for an annual check-up. The family recently moved and is hoping to establish care. The child is home schooled, and the caregiver is concerned about the child's development. The child is only able to say 2 to 3 word sentences and has been “behind on learning the alphabet."" The caregiver notes that the child always seems to be disinterested and ""just seems to be behind."" During the interview, the child is observed to be focused on playing with toys. Physical examination shows a well-nourished child with poor eye contact, a prominent jaw, a single palmar crease, and bilaterally enlarged testicles. What is the most likely mechanism of the child’s findings?","The child's clinical presentation suggests a diagnosis of Fragile X syndrome. The combination of developmental delay, behavioral issues such as disinterest and poor eye contact, and specific physical features like a prominent jaw, single palmar crease, and enlarged testicles (macroorchidism) are characteristic of this condition.

Fragile X syndrome is an X-linked genetic disorder caused by an expansion of the CGG trinucleotide repeat in the FMR1 gene on the X chromosome. Normally, the FMR1 gene has up to 55 CGG repeats, but in Fragile X syndrome, there are typically more than 200 repeats, leading to excessive methylation and subsequent silencing of the gene. This results in the absence or reduced levels of the Fragile X Mental Retardation Protein (FMRP), which is crucial for normal neural development.

**Summary of Key Points:**

- **Developmental delay**: Difficulty in speech development and learning.
- **Behavioral observations**: Disinterest, poor eye contact.
- **Physical features**: Prominent jaw, single palmar crease, macroorchidism.
- **Genetic mechanism**: CGG trinucleotide repeat expansion in the FMR1 gene leading to gene silencing and deficient FMRP.

Considering the constellation of findings, the most likely mechanism underlying the child’s condition is a trinucleotide repeat expansion in the FMR1 gene, leading to Fragile X syndrome.",CGG trinucleotide repeat expansion,Yes
16,"A patient is brought to the emergency department due to a 3-day history of increasing shortness of breath and chest pain. They have had a productive cough with foul-smelling sputum for 1 week. The patient has gastritis and advanced Parkinson's disease and currently lives in an assisted-living community. They smoked one pack of cigarettes daily for 40 years but quit 5 years ago. They have a 30-year history of alcohol abuse but have not consumed any alcohol in the past 5 years. Their temperature is 39.3°C (102.7°F), they are tachycardic and tachypneic, and their oxygen saturation is 77% on room air. Auscultation of the lung shows rales and decreased breath sounds over the right upper lung field. Examination shows a resting tremor. Laboratory studies show:
Hematocrit 38%
Leukocyte count 17,000/mm3
Platelet count 210,000/mm3
Lactic acid 4.1 mmol/L (N=0.5–1.5)
A chest x-ray shows infiltrates in the right upper lobe. Which of the following is the most significant predisposing factor for this patient's respiratory symptoms?","This patient presents with symptoms suggestive of aspiration pneumonia, which is supported by the history of a productive cough with foul-smelling sputum, tachypnea, hypoxemia, fever, leukocytosis, and a chest x-ray showing infiltrates in the right upper lobe. The most significant predisposing factor in this scenario is the patient's advanced Parkinson's disease.

Individuals with Parkinson's disease often have impaired swallowing and cough reflexes due to the involvement of the cranial nerves and muscles that control these functions. This can lead to an increased risk of aspiration, especially in a patient who may have difficulty managing oral secretions or who could have episodes of choking on food or liquids. Aspiration of oropharyngeal or gastric contents can then lead to aspiration pneumonia.

Additional supporting factors include:
- The advanced stage of Parkinson's disease, which typically involves significant motor dysfunction and possible dysphagia.
- Living in an assisted-living community, where the patient might have less strict monitoring of their eating and drinking habits compared to a hospital setting.

Other factors described in the patient's history that can contribute to respiratory problems, such as a history of smoking and alcohol abuse, may also play a role in the overall respiratory health but are less directly linked to the acute presentation of aspiration pneumonia. Therefore, while relevant, they are not the most significant predisposing factor in this patient's current clinical presentation.

Thus, the most significant predisposing factor for this patient's respiratory symptoms is **advanced Parkinson's disease**.","Parkinson disease
""",Yes
17,An individual is brought to the emergency department after being attacked with a knife. Physical examination shows a 4-cm laceration in the midline of the right forearm. An MRI of the right arm shows damage to a nerve that runs between the superficial and deep flexor digitorum muscles. Loss of sensation over which of the following areas is most likely in this individual?,"The nerve that runs between the superficial and deep flexor digitorum muscles is the median nerve. Damage to the median nerve in the forearm can lead to loss of sensation over specific areas of the hand. The most likely areas affected are:

1. The palmar aspect of the thumb, index finger, middle finger, and the lateral half of the ring finger.
2. The tips of the same fingers on the dorsal side of the hand.

If an individual has damaged the median nerve, they would typically experience sensory loss in these regions. Therefore, loss of sensation over the palmar aspect of the radial hand (including the thumb, index, middle, and part of the ring finger) is most likely.",Fingertip of the index finger,Yes
18,"An individual comes to the physician because of a 4-month history of progressively worsening fatigue and loss of appetite. Five years ago, they received a kidney transplant from a living family member. Current medications include sirolimus and mycophenolate. Their blood pressure is 150/95 mm Hg. Laboratory studies show normocytic, normochromic anemia and a serum creatinine concentration of 3.1 mg/dL; their vital signs and laboratory studies were normal 6 months ago. Which of the following is the most likely underlying mechanism of this individual's increase in creatinine concentration?","The individual's increase in creatinine concentration, along with progressively worsening fatigue, loss of appetite, and normocytic, normochromic anemia, is most likely due to chronic allograft nephropathy. Chronic allograft nephropathy typically manifests years after a kidney transplant and is often characterized by a gradual decline in kidney function, which is reflected in increasing serum creatinine levels.

Given the history of kidney transplantation and the use of immunosuppressive medications (sirolimus and mycophenolate), one important consideration is that chronic rejection or chronic allograft nephropathy could be occurring. Chronic allograft nephropathy involves progressive fibrosis and scarring of the transplanted kidney, leading to a decline in renal function over time.

The patient's elevated blood pressure (150/95 mm Hg) and anemia also support the likelihood of chronic kidney disease. Hypertension is both a cause and a consequence of chronic kidney disease, and anemia is common in chronic renal insufficiency due to decreased erythropoietin production by the failing kidneys.

Thus, the most likely underlying mechanism for the increase in creatinine concentration in this individual is chronic allograft nephropathy. This condition results from a combination of immune-mediated injury, calcineurin inhibitor toxicity, and other factors leading to fibrosis and eventual decline in the function of the transplanted kidney.",CD4+ T cell-mediated intimal smooth muscle proliferation,No
19,"An individual with a past medical history of a gastric sleeve operation for morbid obesity presents for pre-surgical clearance prior to a knee arthroplasty. Work-up reveals a hemoglobin of 8.7 g/dL, hematocrit of 26.1%, and MCV of 106 fL. With concern for folate deficiency, they are started on high dose folate supplementation, and their follow-up labs are as follows: hemoglobin of 10.1 g/dL, hematocrit of 28.5%, and MCV of 96 fL. This person is at risk for which long-term complication?","This individual is at risk for long-term complications related to vitamin B12 deficiency. The improvement in anemia and the decrease in mean corpuscular volume (MCV) with high-dose folate supplementation suggest that a component of the anemia was responsive to folate. However, this response can mask an underlying vitamin B12 deficiency. 

Vitamin B12 deficiency, if undiagnosed and untreated, can lead to several serious long-term complications, including:

1. **Neurological Complications**: Vitamin B12 deficiency can cause subacute combined degeneration of the spinal cord, which may lead to irreversible nerve damage, including peripheral neuropathy, gait abnormalities, balance issues, and cognitive changes such as memory loss or even dementia.

2. **Hematologic Complications**: Although folate supplementation can temporarily improve hematologic parameters, without correcting the underlying B12 deficiency, the anemia can recur and potentially worsen over time.

3. **Psychiatric Disorders**: Vitamin B12 deficiency can also contribute to psychological and psychiatric conditions, such as depression, mood disorders, and other cognitive impairments.

Given the history of a gastric sleeve operation, which can impair the absorption of vitamin B12 due to reduced gastric acid and intrinsic factor production needed for proper absorption, this individual should have their vitamin B12 levels closely monitored and treated if found deficient. Long-term vitamin B12 supplementation, either through oral high-dose formulations or intramuscular injections, might be necessary to prevent these complications.",Peripheral neuropathy,Yes
