Index,Question,Response,Answer,Accurate
10,"A 33-year-old White individual comes to the physician because of a 4-month history of intermittent lower abdominal cramps associated with diarrhea, bloating, and mild nausea. During this period, they have had a 5-kg (11-lb) weight loss. They feel like they cannot fully empty their bowels. They have no history of serious illness and maintain a high-fiber diet. Their father is of Ashkenazi Jewish descent. They appear well. Their temperature is 36.9°C (98.5°F), pulse is 90/min, and blood pressure is 130/90 mm Hg. The lungs are clear to auscultation. Cardiac examination shows no murmurs, rubs, or gallops. Abdominal examination shows mild tenderness to palpation in the right lower quadrant without guarding or rebound. Bowel sounds are normal. Test of the stool for occult blood is negative. Their hemoglobin concentration is 10.5 g/dL, leukocyte count is 12,000 mm3, platelet count is 480,000 mm3, and erythrocyte sedimentation rate is 129 mm/h. A barium enema shows ulceration and narrowing of the right colon. Which of the following is the most likely diagnosis?","The patient's presentation features a constellation of symptoms and signs that point towards inflammatory bowel disease (IBD), specifically Crohn's disease. Here are the key findings that support this diagnosis:

1. **Chronic Gastrointestinal Symptoms**: The patient has a 4-month history of intermittent lower abdominal cramps, diarrhea, bloating, and mild nausea.
2. **Weight Loss**: They have experienced a significant weight loss of 5 kg (11 lb).
3. **Incomplete Bowel Evacuations**: They report a sensation of incomplete bowel movements.
4. **Family History**: The patient’s father being of Ashkenazi Jewish descent is relevant as this population has a higher prevalence of Crohn's disease.
5. **Physical Examination**: Mild tenderness in the right lower quadrant on abdominal examination without guarding or rebound.
6. **Hematologic Findings**: Elevated leukocyte count (12,000 mm^3), elevated platelet count (480,000 mm^3), anemia (hemoglobin of 10.5 g/dL), and significantly elevated erythrocyte sedimentation rate (129 mm/h) are indicative of an inflammatory process.
7. **Radiologic Findings**: Barium enema showing ulceration and narrowing of the right colon, a typical finding in Crohn’s disease, which often affects the terminal ileum and the proximal colon.

Given these findings, the most likely diagnosis is **Crohn's disease**. This condition is characterized by transmural inflammation that can affect any part of the gastrointestinal tract, although it commonly involves the terminal ileum and the right colon, resulting in the findings seen on the barium enema.

In contrast:
- **Ulcerative colitis** typically involves continuous colonic involvement starting from the rectum and does not involve the small intestine, and it is less likely to cause the stricturing seen in the barium enema.
- **Celiac disease** primarily presents with malabsorption symptoms and does not typically cause the colonic ulcers and strictures noted on the barium study.
- **Irritable bowel syndrome (IBS)** does not cause the inflammatory changes, weight loss, anemia, or elevated inflammatory markers seen in this patient.
- **Colonic neoplasms** might present with similar symptoms but are less common at this age and not typically associated with the diffuse inflammatory changes and absence of occult blood.

Therefore, **Crohn's disease** is the most consistent diagnosis given the provided clinical and diagnostic information.",Crohn disease,Yes
11,"Three days after being admitted to the hospital because of a fall from the roof of a two-story building, a 27-year-old Asian individual is being monitored in the intensive care unit. On arrival, the patient was somnolent and not oriented to person, place, or time. A CT scan of the head showed an epidural hemorrhage that was 45 cm3 in size and a midline shift of 7 mm. Emergency surgery was performed with craniotomy and hematoma evacuation on the day of admission. Perioperatively, a bleeding vessel was identified and ligated. Postoperatively, the patient was transferred to the intensive care unit and placed on a ventilator. Their temperature is 37°C (98.6°F), pulse is 67/min, and blood pressure is 117/78 mm Hg. The ventilator is set at a FiO2 of 55%, tidal volume of 520 mL, and positive end-expiratory pressure of 5.0 cm H2O. In addition to intravenous administration of fluids, which of the following is the most appropriate next step in managing this patient's nutrition?","Given the patient's critical condition in the intensive care unit (ICU), their nutritional management is essential for recovery. After a major surgery like a craniotomy, ensuring adequate nutrition is crucial to support healing and prevent complications.

For this patient, **enteral nutrition** is often preferred over parenteral nutrition if the gastrointestinal (GI) tract is functional. Enteral nutrition is associated with better outcomes, including a lower risk of infection, maintenance of gut integrity, and overall better utilization of nutrients.

Therefore, the **most appropriate next step in managing this patient's nutrition is to initiate enteral nutrition via a nasogastric tube or another suitable enteral feeding method**. This approach should be taken unless there are contraindications such as severe GI dysfunction, bowel obstruction, or other conditions where the GI tract cannot be used. In such instances, parenteral nutrition might be considered, but this is usually reserved for cases where enteral nutrition is not feasible.

Here’s a step-wise approach for nutritional management in this patient:
1. **Assess the GI function**: Ensure the patient does not have contraindications to enteral nutrition (e.g., bowel obstruction, severe GI necrosis).
2. **Initiate enteral nutrition**: Start with a low rate of enteral feeding and advance as tolerated, monitoring for tolerance and complications.
3. **Monitor and adjust**: Regularly check for signs of feeding intolerance (e.g., high gastric residuals, vomiting) and adjust the feeding regimen accordingly.

Given the current ventilator settings and stable vital signs, the initiation of enteral nutrition is appropriate to promote recovery and provide the needed nutrients for healing.",Enteral feeding via nasogastric tube,Yes
12,"A 5-year-old Asian child with developmental delays presents to the pediatrician's office with an ‘itchy rash’ on the flexor surfaces of their knees, elbows, and around their eyelids. The patient's parent notes that the rashes have had a relapsing-remitting course since the child was an infant. Vital signs are within normal limits. Physical examination shows hypopigmentation of the patient’s skin and hair, as well as a musty odor in their sweat and urine. Based on the patient’s symptoms and history, which of the following is the most appropriate dietary recommendation?","Based on the patient's symptoms and history, which are suggestive of phenylketonuria (PKU), the most appropriate dietary recommendation would be to **restrict phenylalanine intake**. 

PKU is an autosomal recessive metabolic disorder characterized by a deficiency in the enzyme phenylalanine hydroxylase. This enzyme deficiency leads to elevated levels of phenylalanine in the blood, which can cause developmental delays, intellectual disability, hypopigmentation (including lighter skin, hair, and eyes), and a musty odor due to the presence of phenylacetate in the sweat and urine.

The child's itchy rash on flexor surfaces (which might be eczema) can also be seen in PKU patients, though eczema is not specific to PKU. 

A phenylalanine-restricted diet involves avoiding high-protein foods such as meat, dairy products, eggs, nuts, and beans, as well as some artificial sweeteners (e.g., aspartame), which are high in phenylalanine. Instead, a special medical formula that provides protein without phenylalanine and other essential nutrients should be used to ensure proper nutrition.

Therefore, the most appropriate dietary recommendation for this patient is to **restrict phenylalanine intake**.",Avoid meat,Yes
13,A 70-year-old White individual presented to a medical clinic for a routine follow-up. They have had hypertension for 20 years and are currently on multiple anti-hypertensive medications. The blood pressure is 150/100 mm Hg. The remainder of the examinations were within normal limits. Echocardiography showed some changes in the left ventricle. What is the most likely reason for the change?,"In a 70-year-old individual with a 20-year history of hypertension and a current blood pressure reading of 150/100 mm Hg, the most likely cause of changes observed in the left ventricle on echocardiography is left ventricular hypertrophy (LVH). 

Chronic hypertension leads to increased systemic vascular resistance, which means the left ventricle has to work harder to pump blood against the higher pressure. Over time, this increased workload causes the muscle of the left ventricle to thicken, a condition known as hypertrophy. Left ventricular hypertrophy is a common adaptive response to chronic hypertension and can lead to diastolic dysfunction and increased risk of cardiovascular events.

It's important to further manage and optimize the individual's blood pressure to prevent progression of LVH and other associated complications, such as heart failure and arrhythmias.",Increase in cardiac cell size,Yes
14,"A 25-year-old Asian construction worker presents to the office due to a yellowish discoloration of their skin and eyes for the past 2 weeks. They also complain of nausea and loss of appetite for the same duration. The past medical history is insignificant. They are a smoker, but recently have grown a distaste for smoking. The vital signs include: heart rate 83/min, respiratory rate 13/min, temperature 36.5°C (97.7°F), and blood pressure 111/74 mm Hg. On physical examination, there is mild hepatomegaly. The results of the hepatitis viral panel are as follows:
Anti-HAV IgM positive
HBsAg negative
IgM anti-HBc negative
Anti-HCV negative
HCV-RNA negative
Anti-HDV negative
Anti-HEV negative
What is the most common mode of transmission for this patient’s diagnosis?","The patient's diagnosis is acute hepatitis A, as indicated by the positive anti-HAV IgM. Hepatitis A virus (HAV) is primarily transmitted via the fecal-oral route. This can occur through:

1. **Consumption of contaminated food or water:** Poor sanitation and hygiene practices can lead to the contamination of food and water supplies with HAV.
2. **Close personal contact:** This includes living with or caring for an infected person and can also occur during sexual activities that might involve oral-anal contact.
3. **Traveling to areas with higher prevalence:** Individuals who travel to regions where hepatitis A is more common are at higher risk.

Given that the patient is a construction worker, it is plausible they might have been exposed through contaminated food or water, especially if their work environment has hygiene issues or if they have recently traveled to an area with poor sanitation.

Therefore, the most common mode of transmission for the patient's hepatitis A is the **consumption of contaminated food or water**.",Fecal-oral,Yes
15,"A 5-year-old Black/African American child is brought to the clinic by their parent for an annual check-up. The family recently moved from Nebraska and is hoping to establish care. The patient is home schooled and the parent is concerned about the child’s development. The child is only able to say 2 to 3 word sentences and has been “behind on the alphabet."" The child always seems to be disinterested and ""just seems to be behind.” The patient is observed to be focused on playing with their cars during the interview. Physical examination demonstrates a well-nourished child with poor eye contact, a prominent jaw, a single palmar crease, and bilaterally enlarged testicles. What is the most likely mechanism of this patient’s findings?","The description of the patient's clinical presentation, including poor eye contact, delayed speech development, and physical features such as a prominent jaw, single palmar crease, and enlarged testicles, are suggestive of Fragile X Syndrome (FXS). Fragile X Syndrome is the most common inherited cause of intellectual disability and autism spectrum disorder.

The most likely mechanism underlying Fragile X Syndrome involves:

1. **Genetic Mutation:** Fragile X Syndrome is caused by a mutation in the FMR1 gene located on the X chromosome. Specifically, the condition is associated with an expansion of the CGG trinucleotide repeat in the 5' untranslated region of the FMR1 gene.

2. **Gene Silencing:** When the CGG repeat expansion exceeds a certain threshold (usually more than 200 repeats), it leads to hypermethylation of the FMR1 gene and silencing of its expression.

3. **Loss of FMRP:** The silencing of the FMR1 gene results in a deficiency of the Fragile X Mental Retardation Protein (FMRP), which is crucial for normal neural development. The lack of FMRP disrupts synaptic function and plasticity, leading to the cognitive and behavioral impairments seen in Fragile X Syndrome.

In summary, the mechanism of this child's findings is primarily due to the genetic mutation of the FMR1 gene leading to reduced levels or absence of FMRP, which plays a critical role in the development of the nervous system. Further genetic testing (e.g., DNA analysis for CGG repeat expansion) would be necessary to confirm the diagnosis. Early intervention and support for developmental delays can be crucial for improving outcomes in children with Fragile X Syndrome.",CGG trinucleotide repeat expansion,Yes
16,"A 65-year-old Black/African American individual is brought to the emergency department because of a 3-day history of increasing shortness of breath and chest pain. They have had a productive cough with foul-smelling sputum for 1 week. They have gastritis as well as advanced Parkinson disease and currently live in an assisted-living community. They smoked one pack of cigarettes daily for 40 years but quit 5 years ago. They have a 30-year history of alcohol abuse but have not consumed any alcohol in the past 5 years. Their temperature is 39.3°C (102.7°F), they are tachycardic and tachypneic, and their oxygen saturation is 77% on room air. Auscultation of the lung shows rales and decreased breath sounds over the right upper lung field. Examination shows a resting tremor. Laboratory studies show:
Hematocrit 38%
Leukocyte count 17,000/mm3
Platelet count 210,000/mm3
Lactic acid 4.1 mmol/L (N=0.5–1.5)
A x-ray of the chest shows infiltrates in the right upper lobe. Which of the following is the most significant predisposing factor for this patient's respiratory symptoms?","The patient presents with a clinical picture suggestive of pneumonia, evidenced by their fever, productive cough with foul-smelling sputum, shortness of breath, chest pain, and the chest X-ray showing infiltrates in the right upper lobe. The presence of an elevated leukocyte count and increased lactic acid further supports an infectious process. Given the right upper lobe involvement and foul-smelling sputum, aspiration pneumonia should be strongly considered. 

In a patient with aspiration pneumonia, the most significant predisposing factor in this case would likely be advanced Parkinson disease. Parkinson disease can lead to dysphagia (difficulty swallowing) due to impaired coordination of the muscles involved in swallowing. Dysphagia increases the risk of aspiration, especially in individuals with additional risk factors such as being in an assisted-living community where the risk of aspiration events may be higher due to potential care dependency and handling of feeding.

Other contributing factors include the patient's history of alcohol abuse, which can also compromise lung function and aspiration defenses, and their decreased functional reserve due to age and comorbidities. Additionally, the past history of heavy tobacco use could have contributed to chronic lung disease, although the direct relationship with the acute presentation is less likely compared to the immediate risks posed by dysphagia in Parkinson disease.

Thus, given the clinical presentation and the known complications of Parkinson disease, the most significant predisposing factor for this patient’s respiratory symptoms is **advanced Parkinson disease** leading to potential aspiration pneumonia.","Parkinson disease
""",Yes
17,A 37-year-old American Indian/Alaska Native individual is brought to the emergency department after being attacked with a knife. Physical examination shows a 4-cm laceration in the midline of the right forearm. An MRI of the right arm shows damage to a nerve that runs between the superficial and deep flexor digitorum muscles. Loss of sensation over which of the following areas is most likely in this patient?,"The nerve running between the superficial and deep flexor digitorum muscles in the forearm is the median nerve. Damage to the median nerve can result in sensory loss in specific areas of the hand.

The areas most likely affected by sensation loss due to median nerve damage are:
- The palmar surface of the thumb, index finger, middle finger, and the lateral half of the ring finger.
- The tips of these fingers on the dorsal side (nail beds of the thumb, index, middle, and lateral half of the ring finger).

Therefore, the patient is most likely to experience loss of sensation over the palmar surface of the thumb, index finger, middle finger, and the lateral half of the ring finger.",Fingertip of the index finger,No
18,"A 46-year-old Black/African American individual comes to the physician because of a 4-month history of progressively worsening fatigue and loss of appetite. Five years ago, they received a kidney transplant from a living family member. Current medications include sirolimus and mycophenolate. Their blood pressure is 150/95 mm Hg. Laboratory studies show normocytic, normochromic anemia and a serum creatinine concentration of 3.1 mg/dL; their vital signs and laboratory studies were normal 6 months ago. Which of the following is the most likely underlying mechanism of this patient's increase in creatinine concentration?","This 46-year-old individual, who received a kidney transplant 5 years ago and is currently on immunosuppressive therapy with sirolimus and mycophenolate, presents with progressively worsening fatigue, loss of appetite, elevated blood pressure, normocytic normochromic anemia, and a significantly elevated serum creatinine concentration. These findings point toward potential renal dysfunction.

The most likely underlying mechanism for this patient's increase in creatinine concentration is **chronic allograft nephropathy (CAN)** or chronic rejection. 

**Chronic allograft nephropathy (CAN)** refers to progressive loss of kidney transplant function over time, characterized by fibrosis and sclerosis within the transplanted kidney. Risk factors for CAN include:

1. **Chronic calcineurin inhibitor toxicity**: Commonly seen with drugs like cyclosporine and tacrolimus, though this patient is on sirolimus and mycophenolate.
2. **Chronic antibody-mediated rejection**: Continuous immune-mediated injury to the allograft.
3. **Non-adherence to immunosuppressive medications**: Which can lead to chronic rejection.
4. **Hypertension**: Elevated blood pressure, as seen in this patient, can contribute to graft damage.
5. **Infections and recurrent episodes of acute rejection**: They can cause chronic damage over time.

Given the patient’s history of kidney transplantation, their current presentation, and progression over a few months, CAN is a plausible cause. This diagnosis aligns with the clinical picture, including the gradual elevation in serum creatinine and the development of anemia (which can be secondary to chronic kidney disease and resultant reduced erythropoietin production).

Further diagnostic work should include a kidney biopsy to confirm the extent of fibrosis and other pathological features indicative of CAN. Aggressive control of blood pressure and careful monitoring and adjustment of immunosuppressive therapy would be crucial parts of management.

**Summary**: The most likely underlying mechanism for the increase in this patient's creatinine concentration is chronic allograft nephropathy (CAN), a result of progressive, chronic damage to the transplanted kidney.",CD4+ T cell-mediated intimal smooth muscle proliferation,No
19,"A 34-year-old White person with a past medical history of a gastric sleeve operation for morbid obesity presents for pre-surgical clearance prior to a knee arthroplasty. Work-up reveals a hemoglobin of 8.7 g/dL, hematocrit of 26.1%, and MCV of 106 fL. With concern for folate deficiency, the patient is started on high-dose folate supplementation, and follow-up labs are as follows: hemoglobin of 10.1 g/dL, hematocrit of 28.5%, and MCV of 96 fL. The patient is at risk for which long-term complication?","The patient's lab results initially indicated macrocytic anemia (with an elevated mean corpuscular volume or MCV of 106 fL), which improved after folate supplementation (MCV decreased to 96 fL). This suggests that the folate deficiency may have been a contributing factor to their anemia. However, the patient has a history of a gastric sleeve operation, which can predispose them to multiple nutritional deficiencies due to reduced absorption capabilities.

While the improved lab values following folate supplementation are encouraging, it is important to also consider and address the risk of vitamin B12 deficiency in this patient. Vitamin B12 deficiency can also cause macrocytic anemia and may coexist with folate deficiency. Moreover, treating folate deficiency without addressing concurrent vitamin B12 deficiency can potentially mask and exacerbate neurological complications related to vitamin B12 deficiency.

Therefore, the patient is at risk for long-term neurological complications, such as:
- Peripheral neuropathy
- Posterior column demyelination leading to sensory ataxia
- Subacute combined degeneration of the spinal cord

It would be prudent to check the patient's vitamin B12 levels and address any deficiency to mitigate the risk of these severe and potentially irreversible neurologic complications.",Peripheral neuropathy,Yes
