Index,Question,Response
10,"A 33-year-old woman comes to the physician because of a 4-month history of intermittent lower abdominal cramps associated with diarrhea, bloating, and mild nausea. During this period, she has had a 5-kg (11-lb) weight loss. She feels like she cannot fully empty her bowels. She has no history of serious illness. She has a high-fiber diet. Her father is of Ashkenazi Jewish descent. She appears well. Her temperature is 36.9°C (98.5°F), pulse is 90/min, and blood pressure is 130/90 mm Hg. The lungs are clear to auscultation. Cardiac examination shows no murmurs, rubs, or gallops. Abdominal examination shows mild tenderness to palpation in the right lower quadrant without guarding or rebound. Bowel sounds are normal. Test of the stool for occult blood is negative. Her hemoglobin concentration is 10.5 g/dL, leukocyte count is 12,000 mm3, platelet count is 480,000 mm3, and erythrocyte sedimentation rate is 129 mm/h. A barium enema shows ulceration and narrowing of the right colon. Which of the following is the most likely diagnosis?","The clinical presentation and findings of this patient suggest **Crohn's disease**. Here's an analysis of the key points leading to this diagnosis:

1. **Symptoms**:
   - Intermittent lower abdominal cramps
   - Diarrhea, bloating, and mild nausea
   - Weight loss (5 kg or 11 lbs over 4 months)
   - Sensation of incomplete bowel evacuation

2. **Physical Examination**:
   - Mild tenderness to palpation in the right lower quadrant without guarding or rebound
   - Normal bowel sounds

3. **Laboratory Findings**:
   - Anemia (hemoglobin concentration of 10.5 g/dL)
   - Elevated leukocyte count (12,000 mm3)
   - Elevated platelet count (480,000 mm3)
   - Elevated erythrocyte sedimentation rate (129 mm/h)

4. **Imaging Findings**:
   - Barium enema reveals ulceration and narrowing of the right colon

5. **Other Considerations**:
   - The patient's Ashkenazi Jewish heritage also increases her risk for Crohn's disease, as it has a higher prevalence in this population.

Crohn's disease typically involves the ileum and right colon, which corresponds with the abdominal tenderness in the right lower quadrant and the findings on the barium enema. The presence of systemic symptoms like weight loss, elevated inflammatory markers, and gastrointestinal symptoms further supports this diagnosis.

Therefore, the most likely diagnosis is **Crohn's disease**."
11,"Three days after being admitted to the hospital because of a fall from the roof of a two-story building, a 27-year-old man is being monitored in the intensive care unit. On arrival, the patient was somnolent and not oriented to person, place, or time. A CT scan of the head showed an epidural hemorrhage that was 45 cm3 in size and a midline shift of 7 mm. Emergency surgery was performed with craniotomy and hematoma evacuation on the day of admission. Perioperatively, a bleeding vessel was identified and ligated. Postoperatively, the patient was transferred to the intensive care unit and placed on a ventilator. His temperature is 37°C (98.6°F), pulse is 67/min, and blood pressure is 117/78 mm Hg. The ventilator is set at a FiO2 of 55%, tidal volume of 520 mL, and positive end-expiratory pressure of 5.0 cm H2O. In addition to intravenous administration of fluids, which of the following is the most appropriate next step in managing this patient's nutrition?","In the management of critically ill patients, including those in intensive care units (ICUs), providing adequate nutritional support is essential to promote recovery and prevent complications associated with malnutrition. This patient, having undergone emergency surgery for an epidural hemorrhage, should receive appropriate nutritional support as part of his care plan.

The most appropriate next step in managing this patient's nutrition would be to **initiate enteral nutrition** as soon as it is feasible, ideally within the first 24-48 hours after admission, as long as there are no contraindications such as bowel obstruction, active gastrointestinal bleeding, or severe hemodynamic instability.

1. **Enteral Nutrition (EN):** Start enteral feeding through a nasogastric or nasojejunal tube, if the gastrointestinal tract is functional. Enteral nutrition is preferred over parenteral nutrition because it is more physiologically natural, maintains gut integrity, and has a lower risk of infection and other complications.

2. **Parenteral Nutrition (PN):** If the gastrointestinal tract is not functional or enteral feeding is contraindicated, parenteral nutrition may be considered. However, in most cases, attempts should be made to establish enteral nutrition first.

Given this patient's stable vitals, and assuming there are no other contraindications, the initiation of enteral nutrition should be the next step. Early enteral nutrition can help maintain gut integrity, modulate the immune response, and reduce the risk of infections and other complications.

**Immediate steps:**
- Confirm gastrointestinal function is intact.
- Place a feeding tube (nasogastric or nasojejunal) if not already done.
- Initiate a feeding protocol with gradually increasing volumes and rates to monitor tolerance.

**Monitoring:**
- Regularly assess the patient's tolerance to enteral feeding (e.g., checking for gastric residuals, bowel sounds, and signs of feeding intolerance such as nausea, vomiting, or diarrhea).
- Monitor laboratory parameters to ensure adequate nutritional support and to detect any metabolic complications.

In summary, initiating enteral nutrition is the most appropriate next step in managing this patient's nutrition, provided there are no contraindications."
12,"A 5-year-old boy with developmental delays presents to his pediatrician’s office with an ‘itchy rash’ on the flexor surfaces of his knees, elbows, and around his eyelids. The patient’s mother notes that the rashes have had a relapsing-remitting course since the child was an infant. Vital signs are within normal limits. Physical examination shows hypopigmentation of the patient’s skin and hair, as well as a musty odor in his sweat and urine. Based on the patient’s symptoms and history, which of the following is the most appropriate dietary recommendation?","The most appropriate dietary recommendation for this patient is to **restrict dietary phenylalanine**. 

The boy's presentation with developmental delays, a musty odor, and hypopigmentation (both of skin and hair) is highly suggestive of **phenylketonuria (PKU)**, a metabolic disorder caused by a deficiency of the enzyme phenylalanine hydroxylase. This enzyme deficiency leads to an accumulation of phenylalanine and its metabolites, which are toxic to the brain and cause various neurological abnormalities if left untreated.

Patients with PKU need to follow a diet low in phenylalanine to prevent the accumulation of this amino acid. This dietary management involves avoiding high-protein foods such as meat, eggs, cheese, and nuts, as well as certain artificial sweeteners that contain phenylalanine, such as aspartame. Instead, they consume special medical formulas and low-phenylalanine foods to meet their nutritional needs without causing harm.

Thus, the most appropriate dietary recommendation for this patient is to implement a **phenylalanine-restricted diet** under the guidance of a healthcare provider and a dietitian knowledgeable in metabolic disorders."
13,A 70-year-old man presented to a medical clinic for a routine follow-up. He has had hypertension for 20 years and is currently on multiple anti-hypertensive medications. The blood pressure is 150/100 mm Hg. The remainder of the examinations were within normal limits. Echocardiography showed some changes in the left ventricle. What is the most likely reason for the change?,"The most likely reason for the changes in the left ventricle, as shown by the echocardiography in this 70-year-old man with a long history of hypertension, is left ventricular hypertrophy (LVH). 

LVH is a common cardiac adaptation to chronic high blood pressure (hypertension). When the blood pressure is elevated over a long period, the heart has to work harder to pump blood against the increased pressure in the arteries. This increased workload leads to the thickening of the muscular walls of the left ventricle. Over time, this hypertrophic response is a compensatory mechanism that helps maintain cardiac output but can also lead to increased cardiac stiffness, diastolic dysfunction, and a higher risk of cardiovascular events if not managed properly.

In conclusion, the chronic hypertension that the patient has been experiencing for 20 years is the most likely cause of the observed echocardiographic changes in the left ventricle. Managing blood pressure effectively is crucial to prevent further cardiac remodeling and associated complications."
14,"A 25-year-old construction worker presents to the office due to a yellowish discoloration of his skin and eyes for the past 2 weeks. He also complains of nausea and loss of appetite for the same duration. The past medical history is insignificant. He is a smoker, but recently has grown a distaste for smoking. The vital signs include: heart rate 83/min, respiratory rate 13/min, temperature 36.5°C (97.7°F), and blood pressure 111/74 mm Hg. On physical examination, there is mild hepatomegaly. The results of the hepatitis viral panel are as follows:
Anti-HAV IgM positive
HBsAg negative
IgM anti-HBc negative
Anti-HCV negative
HCV-RNA negative
Anti-HDV negative
Anti-HEV negative
What is the most common mode of transmission for this patient’s diagnosis?","The patient is diagnosed with acute hepatitis A, as indicated by the positive anti-HAV IgM. Hepatitis A virus (HAV) infection is generally self-limiting and often presents with symptoms such as jaundice, nausea, and loss of appetite, which are described in the patient's history. 

The most common mode of transmission for hepatitis A is the **fecal-oral route**, which typically occurs through:
1. Ingestion of contaminated food or water.
2. Close personal contact with an infected person.
3. Exposure to contaminated surfaces that have been in contact with fecal matter from an infected person.

In the context of the patient's lifestyle as a construction worker, it is possible that he could have been exposed to HAV through consumption of contaminated food or water, particularly if he works in environments with inadequate sanitation facilities. Hygiene practices such as proper handwashing and food handling are crucial to preventing the spread of hepatitis A."
15,"A 5-year-old boy is brought to the clinic by his mother for an annual check-up. The family recently moved from Nebraska and is hoping to establish care. The patient is home schooled and mom is concerned about her son’s development. He is only able to say 2 to 3 word sentences and has been “behind on his alphabet."" He always seems to be disinterested and ""just seems to be behind.” The patient is observed to be focused on playing with his cars during the interview. Physical examination demonstrate a well-nourished child with poor eye contact, a prominent jaw, a single palmar crease, and bilaterally enlarged testicles. What is the most likely mechanism of this patient’s findings?","The most likely mechanism of this patient's findings suggests Fragile X Syndrome (FXS). FXS is an X-linked dominant genetic disorder that is the most common inherited cause of intellectual disability and a common cause of autism spectrum disorders. 

Key features that align with FXS in this clinical scenario include:

1. **Developmental delays:** The child has language delays (only able to say 2 to 3-word sentences) and difficulties with academic skills (struggling with his alphabet).
2. **Behavioral features:** He seems disinterested and has poor eye contact, which are common in children with FXS. These traits can also be consistent with autism spectrum disorder, which is often associated with FXS.
3. **Physical examination findings:** A prominent jaw, a single palmar crease, and bilaterally enlarged testicles (macroorchidism) are characteristic physical features seen in FXS.

The underlying mechanism of Fragile X Syndrome is the expansion of a CGG trinucleotide repeat in the FMR1 gene on the X chromosome. When the number of CGG repeats exceeds a certain threshold, it leads to the methylation and silencing of the FMR1 gene, which in turn causes a deficiency or absence of the fragile X mental retardation protein (FMRP). This protein is crucial for normal neural development, and its deficiency results in the spectrum of cognitive, behavioral, and physical findings observed in FXS. 

Given these considerations, the child's presentation is most consistent with Fragile X Syndrome, and the mechanism involves the genetic mutation leading to the absence of functional FMRP. Further genetic testing (e.g., FMR1 DNA analysis) can confirm the diagnosis."
16,"A 65-year-old man is brought to the emergency department because of a 3-day history of increasing shortness of breath and chest pain. He has had a productive cough with foul-smelling sputum for 1 week. He has gastritis as well as advanced Parkinson disease and currently lives in an assisted-living community. He smoked one pack of cigarettes daily for 40 years but quit 5 years ago. He has a 30-year history of alcohol abuse but has not consumed any alcohol in the past 5 years. His temperature is 39.3°C (102.7°F), he is tachycardic and tachypneic and his oxygen saturation is 77% on room air. Auscultation of the lung shows rales and decreased breath sounds over the right upper lung field. Examination shows a resting tremor. Laboratory studies show:
Hematocrit 38%
Leukocyte count 17,000/mm3
Platelet count 210,000/mm3
Lactic acid 4.1 mmol/L (N=0.5–1.5)
A x-ray of the chest shows infiltrates in the right upper lobe. Which of the following is the most significant predisposing factor for this patient's respiratory symptoms?""","The most significant predisposing factor for this patient's respiratory symptoms is his advanced Parkinson disease. 

Patients with advanced Parkinson disease are at a higher risk for aspiration pneumonia due to several factors:

1. **Dysphagia:** Parkinson disease frequently causes difficulty in swallowing, which can lead to the aspiration of oropharyngeal secretions or gastric contents.
2. **Poor cough reflex:** The ability to clear aspirated material is diminished, increasing the risk of pneumonia.
3. **Immobility and generalized muscle weakness:** These factors also contribute to a higher likelihood of aspiration and reduced pulmonary hygiene, leading to complications such as pneumonia.

While this patient has a history of smoking and alcohol abuse, which are risk factors for lung disease, the foul-smelling sputum, acute clinical presentation, physical examination findings, and presence of infiltrates on the chest x-ray strongly indicate an aspiration pneumonia, which is most closely related to his underlying Parkinson disease.

Therefore, the advanced Parkinson disease is the most significant predisposing factor for this patient's respiratory symptoms."
17,A 37-year-old man is brought to the emergency department after being attacked with a knife. Physical examination shows a 4-cm laceration in the midline of the right forearm. An MRI of the right arm shows damage to a nerve that runs between the superficial and deep flexor digitorum muscles. Loss of sensation over which of the following areas is most likely in this patient?,"The nerve that runs between the superficial and deep flexor digitorum muscles in the forearm is the median nerve. Damage to the median nerve in the forearm would result in sensory loss in specific areas of the hand. The areas of sensory loss typically associated with median nerve injury include:

- The palmar aspect of the thumb.
- The palmar aspect of the index finger.
- The palmar aspect of the middle finger.
- The palmar aspect of the lateral half of the ring finger.
- The tips of these fingers on the dorsal side.

Therefore, in this patient, the most likely area of sensory loss would be over the palmar surface of the lateral 3½ fingers (the thumb, index finger, middle finger, and the lateral half of the ring finger).

Thus, loss of sensation over the thumb, index finger, middle finger, and lateral half of the ring finger is most likely in this patient."
18,"A 46-year-old man comes to the physician because of a 4-month history of progressively worsening fatigue and loss of appetite. Five years ago, he received a kidney transplant from a living family member. Current medications include sirolimus and mycophenolate. His blood pressure is 150/95 mm Hg. Laboratory studies show normocytic, normochromic anemia and a serum creatinine concentration of 3.1 mg/dL; his vital signs and laboratory studies were normal 6 months ago. Which of the following is the most likely underlying mechanism of this patient’s increase in creatinine concentration?","The patient's increased creatinine concentration and declining kidney function in the context of his history of kidney transplant and current medications (sirolimus and mycophenolate) raise concerns for potential drug toxicity or other causes of allograft dysfunction. However, given the specific medications he is on, let's consider some key points:

1. **Sirolimus and Mycophenolate:** These are immunosuppressive drugs used to prevent organ rejection in transplant patients. Sirolimus (also known as rapamycin) is a mammalian target of rapamycin (mTOR) inhibitor, while mycophenolate inhibits inosine monophosphate dehydrogenase, crucial for purine synthesis in lymphocytes.

2. **Hypertension:** The elevated blood pressure of 150/95 mm Hg can contribute to chronic kidney disease (CKD) and graft dysfunction. Uncontrolled hypertension is a common cause of kidney dysfunction in transplant patients.

3. **Normocytic, Normochromic Anemia:** This is typical in chronic kidney disease, whether due to declining erythropoietin production or other factors related to kidney dysfunction.

Taking these factors into consideration, the most likely underlying mechanism for the increase in creatinine concentration in this patient is **calcineurin inhibitor (CNI) toxicity.** Although the patient is not on CNIs like cyclosporine or tacrolimus, it's worth noting that CNI nephrotoxicity is a common cause of graft dysfunction. However, in this case:

### Key Details:
- **Sirolimus Toxicity:** Sirolimus itself can also contribute to kidney dysfunction, though it is less common compared to CNIs. Sirolimus can cause proteinuria and glomerular injury, leading to nephrotoxicity.
- **Chronic Allograft Nephropathy:** Another important differential would be chronic allograft nephropathy, which is the gradual loss of kidney function over time due to immune and non-immune factors, including hypertension.

### Conclusion:
While both sirolimus toxicity and chronic allograft nephropathy are plausible mechanisms, sirolimus toxicity is a more direct effect of his current immunosuppressive regimen. Given the progressive nature and specifics of his treatment:

**The most likely underlying mechanism of this patient's increase in creatinine concentration is sirolimus-related nephrotoxicity.**"
19,"A 34-year-old female with a past medical history of a gastric sleeve operation for morbid obesity presents for pre-surgical clearance prior to a knee arthroplasty. Work-up reveals a hemoglobin of 8.7 g/dL, hematocrit of 26.1%, and MCV of 106 fL. With concern for folate deficiency, she is started on high dose folate supplementation, and her follow-up labs are as follows: hemoglobin of 10.1 g/dL, hematocrit of 28.5%, and MCV of 96 fL. She is at risk for which long-term complication?","The patient described shows improvement in her hematologic parameters after folate supplementation, suggesting a component of her anemia was due to folate deficiency. However, given her history of a gastric sleeve operation, she is also at risk for vitamin B12 deficiency, which can lead to serious long-term complications if not addressed.

Gastric sleeve surgery reduces the stomach's size and can result in decreased absorption of various nutrients, including vitamin B12. Vitamin B12 deficiency, if untreated, can lead to significant long-term complications, including neurological damage (such as peripheral neuropathy and subacute combined degeneration of the spinal cord) and psychiatric symptoms (such as cognitive decline and mood disturbances).

Therefore, despite the initial focus on folate deficiency, it is critical to also assess and, if needed, treat vitamin B12 deficiency to prevent these potential long-term complications. Routine follow-up and appropriate supplementation should be part of her ongoing medical care."
