Index,Question,Response
10,"A 33-year-old woman comes to the physician because of a 4-month history of intermittent lower abdominal cramps associated with diarrhea, bloating, and mild nausea. During this period, she has had a 5-kg (11-lb) weight loss. She feels like she cannot fully empty her bowels. She has no history of serious illness. She has a high-fiber diet. Her father is of Ashkenazi Jewish descent. She appears well. Her temperature is 36.9°C (98.5°F), pulse is 90/min, and blood pressure is 130/90 mm Hg. The lungs are clear to auscultation. Cardiac examination shows no murmurs, rubs, or gallops. Abdominal examination shows mild tenderness to palpation in the right lower quadrant without guarding or rebound. Bowel sounds are normal. Test of the stool for occult blood is negative. Her hemoglobin concentration is 10.5 g/dL, leukocyte count is 12,000 mm3, platelet count is 480,000 mm3, and erythrocyte sedimentation rate is 129 mm/h. A barium enema shows ulceration and narrowing of the right colon. Which of the following is the most likely diagnosis?","The symptoms and examination findings of this 33-year-old woman suggest an inflammatory condition affecting her lower gastrointestinal tract. Key findings include:

- Intermittent lower abdominal cramps
- Diarrhea, bloating, and mild nausea over 4 months
- Weight loss of 5 kg (11 lb)
- High white blood cell count (12,000 mm³)
- Elevated platelet count (480,000 mm³)
- Significantly elevated erythrocyte sedimentation rate (ESR) of 129 mm/h
- Anemia (hemoglobin 10.5 g/dL)
- Barium enema showing ulceration and narrowing of the right colon
- Family history (father of Ashkenazi Jewish descent)

These findings are highly suggestive of Crohn's disease, an inflammatory bowel disease (IBD) characterized by chronic intestinal inflammation. The presentation of right lower quadrant tenderness, weight loss, high inflammatory markers (ESR), and specific findings on the barium enema are typical of this condition. Additionally, the patient's Ashkenazi Jewish heritage further supports this diagnosis, as Crohn's disease is more prevalent in this population.

Crohn's disease can affect any part of the gastrointestinal tract from mouth to anus but often involves the terminal ileum and right colon. The barium enema findings of ulceration and narrowing are classic for Crohn's disease, which often presents with transmural inflammation leading to strictures and fistulas.

Given these clinical details, the most likely diagnosis is **Crohn's disease**."
11,"Three days after being admitted to the hospital because of a fall from the roof of a two-story building, a 27-year-old man is being monitored in the intensive care unit. On arrival, the patient was somnolent and not oriented to person, place, or time. A CT scan of the head showed an epidural hemorrhage that was 45 cm3 in size and a midline shift of 7 mm. Emergency surgery was performed with craniotomy and hematoma evacuation on the day of admission. Perioperatively, a bleeding vessel was identified and ligated. Postoperatively, the patient was transferred to the intensive care unit and placed on a ventilator. His temperature is 37°C (98.6°F), pulse is 67/min, and blood pressure is 117/78 mm Hg. The ventilator is set at a FiO2 of 55%, tidal volume of 520 mL, and positive end-expiratory pressure of 5.0 cm H2O. In addition to intravenous administration of fluids, which of the following is the most appropriate next step in managing this patient's nutrition?","For a patient in the intensive care unit (ICU) following major surgery like a craniotomy and hematoma evacuation after a traumatic brain injury, early nutritional support is critical. This patient is currently stable in terms of vital signs and ventilator settings. 

The most appropriate next step in managing this patient's nutrition is to start **enteral nutrition** as soon as possible, preferably within 24-48 hours of admission to the ICU if there are no contraindications like bowel perforation, ischemia, or obstruction. Enteral nutrition (EN) is preferred over parenteral nutrition (PN) because it maintains gut integrity, reduces the risk of infections, and is associated with better outcomes.

Enteral nutrition can be administered via a nasogastric (NG) tube or a nasojejunal tube. The benefits of early enteral nutrition include:

1. **Maintenance of gut mucosal integrity**: By providing nutrients directly to the gut, enteral feeding helps to maintain the structure and function of the gastrointestinal tract.
2. **Reduction in infection risk**: EN is associated with a lower risk of infections compared to parenteral nutrition.
3. **Immune function support**: The gut-associated lymphoid tissue plays a significant role in the body's immune response, which can be supported by enteral feeding.

Thus, initiating enteral nutrition through an NG tube would be most appropriate for this patient, assuming no contraindications exist for enteral feeding."
12,"A 5-year-old boy with developmental delays presents to his pediatrician’s office with an ‘itchy rash’ on the flexor surfaces of his knees, elbows, and around his eyelids. The patient’s mother notes that the rashes have had a relapsing-remitting course since the child was an infant. Vital signs are within normal limits. Physical examination shows hypopigmentation of the patient’s skin and hair, as well as a musty odor in his sweat and urine. Based on the patient’s symptoms and history, which of the following is the most appropriate dietary recommendation?","The patient's presentation suggests a diagnosis of phenylketonuria (PKU), a metabolic disorder caused by a deficiency in the enzyme phenylalanine hydroxylase. This enzyme deficiency leads to an accumulation of phenylalanine in the body, which can cause developmental delays, hypopigmentation (due to decreased melanin synthesis), and a characteristic musty odor.

Given this diagnosis, the most appropriate dietary recommendation would be:

**A diet low in phenylalanine.**

This involves avoiding high-protein foods such as meat, fish, eggs, dairy products, nuts, and certain beans, while also using specially formulated medical foods and formula designed for individuals with PKU to ensure adequate nutrition. This dietary management is crucial to prevent the toxic effects of phenylalanine accumulation and to support normal growth and development."
13,A 70-year-old man presented to a medical clinic for a routine follow-up. He has had hypertension for 20 years and is currently on multiple anti-hypertensive medications. The blood pressure is 150/100 mm Hg. The remainder of the examinations were within normal limits. Echocardiography showed some changes in the left ventricle. What is the most likely reason for the change?,"Given the patient's history of long-standing hypertension and the echocardiographic finding of changes in the left ventricle, the most likely reason for these changes is **left ventricular hypertrophy (LVH)**. 

Chronic hypertension requires the left ventricle to work harder to pump blood against the increased systemic vascular resistance. Over time, this increased workload causes hypertrophy, or thickening, of the left ventricular myocardium. LVH is a common adaptation in response to chronic pressure overload and can be detected on echocardiography as increased left ventricular wall thickness.

Key points that support this conclusion include:

1. **Long-standing Hypertension:** The patient has been hypertensive for 20 years, which is a significant duration for the development of hypertensive heart disease.
2. **Echocardiographic Findings:** While the specific details of the echocardiographic changes are not provided, changes in the left ventricle in the context of hypertension usually indicate hypertrophic changes.

In summary, the most likely cause of the echocardiographic changes in the left ventricle of this patient is left ventricular hypertrophy due to long-standing hypertension."
14,"A 25-year-old construction worker presents to the office due to a yellowish discoloration of his skin and eyes for the past 2 weeks. He also complains of nausea and loss of appetite for the same duration. The past medical history is insignificant. He is a smoker, but recently has grown a distaste for smoking. The vital signs include: heart rate 83/min, respiratory rate 13/min, temperature 36.5°C (97.7°F), and blood pressure 111/74 mm Hg. On physical examination, there is mild hepatomegaly. The results of the hepatitis viral panel are as follows:
Anti-HAV IgM positive
HBsAg negative
IgM anti-HBc negative
Anti-HCV negative
HCV-RNA negative
Anti-HDV negative
Anti-HEV negative
What is the most common mode of transmission for this patient’s diagnosis?","The patient presents with jaundice, nausea, loss of appetite, and hepatomegaly, along with a positive anti-HAV IgM, which indicates an acute hepatitis A infection. Hepatitis A is commonly transmitted through the fecal-oral route.

The most common mode of transmission for hepatitis A is through ingestion of contaminated food or water. This can occur in several scenarios, including:

1. **Eating food prepared by an infected person who has not practiced adequate hand hygiene** after using the bathroom.
2. **Consuming raw or undercooked shellfish** from waters contaminated with sewage.
3. **Drinking contaminated water**.
4. **Close personal contact** with an infected person, such as in households or certain child care settings.

Given the patient's occupation as a construction worker, it is possible he may have been exposed to contaminated food or drink at work or through another setting, although the specific route cannot be determined solely based on the provided history.

In summary, the most common mode of transmission for the patient’s diagnosis of hepatitis A is the fecal-oral route."
15,"A 5-year-old boy is brought to the clinic by his mother for an annual check-up. The family recently moved from Nebraska and is hoping to establish care. The patient is home schooled and mom is concerned about her son’s development. He is only able to say 2 to 3 word sentences and has been “behind on his alphabet."" He always seems to be disinterested and ""just seems to be behind.” The patient is observed to be focused on playing with his cars during the interview. Physical examination demonstrate a well-nourished child with poor eye contact, a prominent jaw, a single palmar crease, and bilaterally enlarged testicles. What is the most likely mechanism of this patient’s findings?","The clinical presentation of this 5-year-old boy suggests a likely diagnosis of Fragile X syndrome (FXS). FXS is the most common inherited form of intellectual disability and is characterized by a range of developmental problems including cognitive impairment and learning disabilities.

Key features in this case that support the diagnosis of Fragile X syndrome include:

1. **Developmental Delays**: The child’s delayed speech development (only able to say 2 to 3 word sentences) and being ""behind on his alphabet"" are indicative of cognitive and speech delays.
2. **Behavioral Concerns**: The observation that he is disinterested and tends to focus on playing with his cars could be indicative of behavioral traits associated with FXS.
3. **Physical Examination Findings**:
   - **Poor Eye Contact**: Common in children with FXS.
   - **Prominent Jaw**: Macroorchidism and a long face or prominent jaw can be features of FXS.
   - **Single Palmar Crease**: Though nonspecific, this can sometimes be seen in patients with various genetic conditions.
   - **Bilaterally Enlarged Testicles (Macroorchidism)**: Often a characteristic feature in post-pubertal males with FXS but can be appreciable earlier in some cases.

The most likely mechanism underlying Fragile X syndrome is an abnormal expansion of the **CGG trinucleotide repeat in the FMR1 gene** on the X chromosome. Normally, the FMR1 gene contains up to 44 repeats of the CGG sequence. In individuals with Fragile X syndrome, the CGG repeat expands to over 200 repeats, leading to hypermethylation and silencing of the FMR1 gene. This results in a deficiency or absence of the FMRP protein, which is crucial for normal neural development.

In summary, the most likely mechanism for the patient's findings is an expanded CGG trinucleotide repeat in the FMR1 gene causing Fragile X syndrome."
16,"A 65-year-old man is brought to the emergency department because of a 3-day history of increasing shortness of breath and chest pain. He has had a productive cough with foul-smelling sputum for 1 week. He has gastritis as well as advanced Parkinson disease and currently lives in an assisted-living community. He smoked one pack of cigarettes daily for 40 years but quit 5 years ago. He has a 30-year history of alcohol abuse but has not consumed any alcohol in the past 5 years. His temperature is 39.3°C (102.7°F), he is tachycardic and tachypneic and his oxygen saturation is 77% on room air. Auscultation of the lung shows rales and decreased breath sounds over the right upper lung field. Examination shows a resting tremor. Laboratory studies show:
Hematocrit 38%
Leukocyte count 17,000/mm3
Platelet count 210,000/mm3
Lactic acid 4.1 mmol/L (N=0.5–1.5)
A x-ray of the chest shows infiltrates in the right upper lobe. Which of the following is the most significant predisposing factor for this patient's respiratory symptoms?""","This 65-year-old man presents to the emergency department with signs and symptoms consistent with pneumonia, given his shortness of breath, chest pain, productive cough with foul-smelling sputum, fever, elevated leukocyte count, and specific chest x-ray findings of infiltrates in the right upper lobe. His medical history and physical examination also indicate advanced Parkinson disease and a history of significant smoking and alcohol use.

The most significant predisposing factor for this patient's respiratory symptoms, particularly in the context of aspiration pneumonia, is his advanced Parkinson disease. Parkinson disease often leads to impaired swallowing (dysphagia), reduced cough reflex, and poor coordination of the muscles involved in swallowing, making patients more susceptible to aspiration. Aspiration can introduce oropharyngeal and gastric contents into the lungs, leading to aspiration pneumonia. This condition is often characterized by foul-smelling sputum because of the anaerobic bacteria commonly present in the oral flora.

Let's summarize the key points:

1. **Advanced Parkinson Disease:** This is the most significant predisposing factor for aspiration pneumonia due to its effects on swallowing and airway protection.
2. **Productive Cough with Foul-Smelling Sputum:** Suggests aspiration pneumonia, often caused by anaerobic bacteria.
3. **Chest X-ray Findings:** Show infiltrates in the right upper lobe, commonly associated with aspiration pneumonia.

Other contributions might include:

- **History of Smoking:** Increases susceptibility to respiratory infections due to chronic damage to the lung parenchyma and airways.
- **Living in Assisted-Living Facility:** Higher chances of exposure to infectious agents, but not specific to aspiration.
- **Past Alcohol Abuse:** Predisposes to aspiration, but given the information available and the cessation of alcohol use 5 years ago, it is less of an immediate risk factor compared to Parkinson's disease.

Therefore, the most significant predisposing factor for this patient's respiratory symptoms is his **advanced Parkinson disease**."
17,A 37-year-old man is brought to the emergency department after being attacked with a knife. Physical examination shows a 4-cm laceration in the midline of the right forearm. An MRI of the right arm shows damage to a nerve that runs between the superficial and deep flexor digitorum muscles. Loss of sensation over which of the following areas is most likely in this patient?,"The nerve running between the superficial and deep flexor digitorum muscles in the forearm is the median nerve. Damage to the median nerve is associated with sensory loss primarily over the lateral aspect of the palm and the palmar surface of the first three and a half fingers (thumb, index finger, middle finger, and lateral half of the ring finger).

Given the patient's injury and the MRI findings, the area most likely to experience loss of sensation is:

- The palmar surface of the thumb, index finger, middle finger, and the lateral half of the ring finger.

Additionally, there may also be some sensory loss over the tips of these fingers on the dorsal side.

In summary, loss of sensation over the palmar surface of the first three and a half fingers is most likely in this patient due to damage to the median nerve."
18,"A 46-year-old man comes to the physician because of a 4-month history of progressively worsening fatigue and loss of appetite. Five years ago, he received a kidney transplant from a living family member. Current medications include sirolimus and mycophenolate. His blood pressure is 150/95 mm Hg. Laboratory studies show normocytic, normochromic anemia and a serum creatinine concentration of 3.1 mg/dL; his vital signs and laboratory studies were normal 6 months ago. Which of the following is the most likely underlying mechanism of this patient’s increase in creatinine concentration?","Given this patient's medical history and current presentation, several key factors must be considered to understand the underlying mechanism of the increased creatinine concentration. The patient is a kidney transplant recipient and is currently on immunosuppressive medications, specifically sirolimus and mycophenolate. His worsening laboratory results show increasing serum creatinine and anemia, which could indicate graft dysfunction or a drug-related adverse effect. Here's an evaluation of the potential mechanisms:

1. **Chronic Allograft Nephropathy**: This is a possibility, especially considering the transplant was 5 years ago. Chronic allograft nephropathy typically manifests with gradual loss of graft function over time. This can lead to elevated creatinine levels and secondary hypertension.

2. **Drug Toxicity**: Both sirolimus and mycophenolate can have nephrotoxic effects. Sirolimus, in particular, has been associated with kidney dysfunction, including proteinuria and interstitial nephritis. Mycophenolate is less commonly associated with direct nephrotoxicity but can contribute to anemia.

3. **Hypertension**: High blood pressure can contribute to worsening kidney function over time, but in this context, it seems more likely to be a result than a cause of the declining renal function.

Considering the medications, particularly sirolimus, is important. Sirolimus is known for its potential nephrotoxic side effects. It inhibits the mTOR pathway, which is crucial for cell proliferation and growth, and can cause damage to renal cells leading to nephropathy and interstitial fibrosis.

**Conclusion**: The most likely underlying mechanism of this patient's increase in creatinine concentration is drug toxicity from sirolimus. This medication can cause chronic damage to the kidneys, leading to increasing creatinine levels and the development of kidney dysfunction over time."
19,"A 34-year-old female with a past medical history of a gastric sleeve operation for morbid obesity presents for pre-surgical clearance prior to a knee arthroplasty. Work-up reveals a hemoglobin of 8.7 g/dL, hematocrit of 26.1%, and MCV of 106 fL. With concern for folate deficiency, she is started on high dose folate supplementation, and her follow-up labs are as follows: hemoglobin of 10.1 g/dL, hematocrit of 28.5%, and MCV of 96 fL. She is at risk for which long-term complication?","Given the patient's history and laboratory findings, it is important to consider not only the identified folate deficiency but also other possible deficiencies. The normalization of the mean corpuscular volume (MCV) after folate supplementation suggests that folate deficiency was contributing to her macrocytic anemia. 

However, gastric sleeve surgery, which she previously underwent, can also impair the absorption of other nutrients. One significant nutrient that is commonly malabsorbed in patients with a history of gastric surgery is vitamin B12. Long-term vitamin B12 deficiency poses a risk for several complications, most notably:

1. **Neurological Complications**: Prolonged vitamin B12 deficiency can lead to irreversible neurological damage, manifesting as peripheral neuropathy, subacute combined degeneration of the spinal cord, cognitive disturbances, and even dementia.

2. **Hematological Complications**: While the patient's anemia improved with folate supplementation, it is essential to monitor and manage vitamin B12 levels to prevent other hematological issues such as pancytopenia or continued macrocytic anemia.

Thus, the patient is at significant risk for neurological complications due to potential vitamin B12 deficiency. It is advisable to assess her vitamin B12 levels and supplement as necessary to avoid these potential long-term complications."
