Index,Question,Response,Answer,Accuracy
11,"Hey there, can you tell me what could be causing the issue in the lung of this woman with chest pain and breathing trouble who recently had hip surgery?","1. Pulmonary embolism: This condition occurs when a blood clot travels to the lungs, causing chest pain and breathing difficulty. Patients who have recently had surgery, such as hip surgery, are at a higher risk of developing blood clots.

2. Pneumonia: Infection of the lung tissue can lead to chest pain and breathing problems. The stress of surgery can make patients more susceptible to developing pneumonia.

3. Atelectasis: This condition occurs when a portion of the lung collapses, leading to chest pain and difficulty breathing. Patients who have undergone surgery, especially in the chest or abdominal area, are at an increased risk of developing atelectasis.",Embolism,Relevant
12,Can you explain why the new kidney isn't getting enough blood flow after the transplant surgery due to inflammation and clotting in the renal artery?,"1. The new kidney may not be getting enough blood flow due to renal artery thrombosis, which is a blood clot that blocks blood flow to the kidney after surgery.
2. The new kidney may be experiencing acute rejection, where the body's immune system attacks the transplanted kidney, leading to inflammation and reduced blood flow.
3. The transplant surgery may have caused damage to the renal artery, leading to inflammation and reduced blood flow to the new kidney.",Type II hypersensitivity reaction,Accurate.
13,"I can't sleep well lately, about three months already. I have trouble falling asleep, but once I do, I sleep through the night and wake up at the right time. Tried improving my sleep habits but it didn't work. I'm not feeling anxious or low, and I'm healthy otherwise. The medicine you gave me might cause priapism. Where does this medicine affect the release of the chemical in my body?","*1* The medication likely affects the neurotransmitters involved in sleep regulation, such as serotonin or melatonin.
*2* The medication may also affect the histamine system in the brain, which can be involved in wakefulness and sleep.
*3* The medication could potentially impact the GABA system, which is crucial for promoting relaxation and sleep.",Raphe nucleus,Relevant
14,"A 69-year-old woman comes to the clinic feeling very down and having thoughts of ending her life for about a week now. She's been struggling with feeling sad ever since her husband passed away in a car crash seven years ago. She even tried to take too many regular pills back then but thankfully, she got better. Her sadness was under control with sertraline until recently. Besides feeling blue, she also has high blood pressure that she manages with hydrochlorothiazide. This lady is retired, lives by herself, and enjoys gardening and being part of her local community center. When asked more about her feelings, she mentioned she hasn't planned how she would do it, but she did buy a gun two years ago. She doesn't smoke, drink alcohol, or use any drugs. What is the biggest risk factor for this lady to actually go through with ending her life?","1. History of suicidal attempt: The fact that the woman had previously attempted suicide by taking too many regular pills increases her risk of attempting suicide again.

2. Access to a lethal means: The woman owning a gun increases her risk of completing suicide as access to a lethal means is a significant risk factor.

3. Recent worsening of depressive symptoms: The recent exacerbation of her depressive symptoms despite being on sertraline suggests poor control of her depression, which also increases her risk of attempting suicide.",Previous attempt,Relevant
15,Why does a 7-year-old girl keep getting painful pee episodes and infections in her urinary tract? What should be done next to help her feel better?,"1. The most likely reason a 7-year-old girl keeps getting painful pee episodes and urinary tract infections is poor hygiene habits. Children may not be effectively wiping themselves after using the toilet, leading to bacteria spreading from the rectum to the urinary tract. Ensuring proper hygiene practices, including cleaning themselves thoroughly after using the toilet, can help prevent recurring infections.

2. Another possible reason for the frequent painful pee episodes and urinary tract infections in a 7-year-old girl could be anatomical abnormalities in her urinary tract. Structural issues such as vesicoureteral reflux (VUR) or an obstruction in the urinary tract can increase the risk of infections. A consultation with a pediatric urologist may be recommended to evaluate any structural problems and determine appropriate treatment.

3. Rarely, a 7-year-old girl may have an underlying medical condition predisposing her to recurrent urinary tract infections, such as immune deficiencies or anatomical abnormalities. A comprehensive evaluation by a pediatrician or pediatric urologist can help identify any underlying conditions that may be contributing to the recurrent infections and guide appropriate management.",Voiding cystourethrogram,Relevant
16,"What's going on with a tiny baby who was born early, is breathing fast, making grunting noises, and has belly muscles pulling in just a couple hours after being born? The mom didn't see a doctor during the pregnancy. The baby has a low temperature, a fast heartbeat, and is breathing quickly. The doctor sees blue skin, wide nostrils, and hears less air in the lungs. An x-ray shows cloudy spots in the lungs. What caused this issue in the baby?","*1* The most plausible cause of this issue in the baby is Respiratory Distress Syndrome (RDS). RDS is a common breathing disorder in premature babies. It is caused by a lack of surfactant in the lungs, which helps keep the air sacs open.

*2* Another possible cause is Meconium Aspiration Syndrome (MAS). MAS occurs when a newborn inhales meconium (the baby's first feces) into the lungs, leading to respiratory distress and possible lung inflammation.

*3* A less likely cause could be Pneumonia, which is an infection of the lungs that can cause symptoms such as fast breathing, grunting noises, and cloudy spots on x-rays. However, given the baby's prematurity and lack of prenatal care, RDS or MAS are more likely explanations for the symptoms described.",Low concentration of lamellar bodies,Relevant.
17,Why is this lady feeling tired after her thyroid surgery and having low vitamin D levels?,"*1* The most plausible answer is that the lady may be experiencing hypothyroidism as a result of her thyroid surgery. Hypothyroidism can cause symptoms like fatigue and low energy levels.

*2* Another possible explanation is that the lady may be deficient in vitamin D, which can also lead to fatigue and low energy levels. This deficiency could be unrelated to the thyroid surgery.

*3* Additionally, it is possible that the lady may be experiencing a combination of both hypothyroidism and vitamin D deficiency, as these conditions can often occur together and exacerbate symptoms like fatigue.",Parathyroid hormone (PTH),Relevant
18,What's going on with this person who started feeling pain and seeing a rash on their thigh in a trial they're in for a new medicine to prevent strokes? And the blood tests show some changes. What's causing all of this to happen to them?,"*1* This person may be experiencing an allergic reaction to the new medicine being tested, which can manifest as skin rash, pain, and abnormal changes in blood tests.
*2* It is possible that the person is developing a side effect from the new medication that is causing the symptoms they are experiencing.
*3* The person could be experiencing an adverse drug reaction to the new medicine being tested, leading to the symptoms and abnormal blood test results.",Increased factor VIII activity,Inaccurate
19,"My teenager has a history of seizures and is currently having prolonged seizures without regaining consciousness in between. Besides making sure he keeps breathing well, what medication should be given first to help with this situation?","*1* The first medication that should be given in this situation is a benzodiazepine, such as lorazepam or midazolam, to help stop the prolonged seizure activity.

*2* If the benzodiazepine does not stop the seizure, the next medication to consider would be a second-line antiepileptic medication such as phenytoin or fosphenytoin.

*3* If the seizure still continues, an anesthetic agent like propofol or pentobarbital may be considered, but these are typically reserved for very refractory cases and should be administered in an intensive care setting due to their potential side effects.",Lorazepam,Relevant
20,Can certain medications make this man's lung problems worse?,"1. Yes, certain medications can exacerbate lung problems. For example, beta-blockers, nonsteroidal anti-inflammatory drugs (NSAIDs), and certain antibiotics can adversely affect lung function in some individuals.
2. Some medications used in the treatment of other conditions can worsen pre-existing lung problems as a side effect. It is important for individuals with lung problems to inform their healthcare provider about all medications they are taking to avoid potential exacerbation of lung issues.
3. It is crucial for individuals with lung problems to consult their healthcare provider before starting any new medications to ensure they do not negatively impact their lung health.",Amiodarone,Relevant
21,"A 16-year-old boy is having trouble swallowing, feels like there's something stuck in the back of his throat, and is having trouble breathing at night. He recently got over a cold. The doctor found a small painless lump in the middle under his tongue. His skin is dry and cool. Based on a special scan, what's probably causing his symptoms?","*1* Thyroid cancer
*2* Thyroid nodules
*3* Hypothyroidism",Arrested endodermal migration from pharyngeal floor,relevant
22,"Why is this boy having blood in his urine, swollen face and feet, along with hearing loss and family history of kidney problems?","*1* The most likely explanation for these symptoms is Alport syndrome, a genetic condition characterized by kidney disease, hearing loss, and eye abnormalities. Blood in the urine (hematuria) is a common early sign of kidney involvement in Alport syndrome.

*2* Another possible explanation could be IgA nephropathy, also known as Berger's disease, which is a kidney disorder that occurs when an antibody called immunoglobulin A (IgA) builds up in the kidneys, causing inflammation and kidney damage. Hematuria is a common symptom of IgA nephropathy.

*3* Lastly, kidney stones could also be a potential cause of the blood in the urine and swollen face and feet. However, the presence of hearing loss and a family history of kidney problems makes genetic conditions like Alport syndrome or IgA nephropathy more likely in this case.",Defective type IV collagen,Relevant
23,"Why is the 6-year-old boy showing signs of early sexual development like greasy skin, cystic acne, and coarse body hair, along with specific hormone levels in the blood?","*1* Precocious puberty - Precocious puberty is a condition where a child's body begins changing into that of an adult too soon. It can result in the early growth of sexual organs, pubic hair, and other signs of puberty, such as greasy skin, cystic acne, and coarse body hair.

*2* Congenital adrenal hyperplasia (CAH) - CAH is a genetic disorder that affects the adrenal glands and can cause early onset of puberty, along with symptoms like greasy skin, cystic acne, and coarse body hair.

*3* Hormonal imbalance - An imbalance in hormones, such as an overproduction of adrenal or sex hormones, can also lead to early sexual development and the associated symptoms in children.",Deficiency of 21β-hydroxylase,Relevant.
24,"I believe my water broke, there's blood in my groin, and the baby's heart rate is decreasing. What should be done next?","*1* This situation is considered an obstetric emergency. The most important step is to seek immediate medical attention by calling 911 or heading to the nearest emergency room.

*2* While waiting for emergency services, the mother should lie on her left side to improve circulation to the baby and reduce the pressure on blood vessels, which can help increase the baby's heart rate temporarily.

*3* It is important not to delay seeking help even if the bleeding stops or the baby's heart rate temporarily stabilizes. Immediate medical intervention is essential to ensure the safety of both the mother and the baby.",Cesarean section,Inaccurate.
25,Why is this 23-year-old man experiencing these symptoms after handling a barrel of carbon tetrachloride without a mask?,"1. Carbon tetrachloride poisoning: The symptoms experienced by the man may be due to carbon tetrachloride poisoning, which can occur after exposure to the chemical through inhalation or skin contact. Symptoms may include dizziness, headache, nausea, vomiting, confusion, and even loss of consciousness.

2. Liver damage: Carbon tetrachloride is known to cause liver damage after exposure, which could also explain the man's symptoms. The liver is responsible for detoxifying chemicals in the body, and exposure to carbon tetrachloride can overwhelm its capacity, leading to liver damage and symptoms such as jaundice, abdominal pain, and fatigue.

3. Central nervous system effects: Carbon tetrachloride can also affect the central nervous system, leading to symptoms such as dizziness, confusion, and headaches. Long-term exposure to the chemical can result in neurotoxicity and cognitive deficits.",Lipid peroxidation,Inaccurate
26,Can you explain what exactly does PSA do in the body?,"*1* Prostate-specific antigen (PSA) is a protein produced by the cells of the prostate gland. It is primarily known for its role in liquefying semen and aiding sperm motility. PSA levels can be measured in a blood test to screen for prostate cancer and other prostate-related conditions.

*2* PSA can also be found in small amounts in the blood of men with healthy prostates, but elevated levels may indicate a prostate issue, such as inflammation or enlargement (benign prostatic hyperplasia).

*3* PSA screening is controversial, as elevated levels can be present in non-cancerous conditions, leading to unnecessary tests and treatments. It is important to discuss the benefits and risks of PSA screening with a healthcare provider. ",Liquefaction of semen,Accurate
27,Can you tell me what could've stopped this patient's lab issues?,"1. Ensuring the patient was properly hydrated before undergoing lab tests, as dehydration can cause abnormalities in lab results.

2. Checking for any medication interactions or side effects that could have impacted the lab results.

3. Conducting a thorough review of the patient's medical history to rule out any underlying conditions that could have influenced the abnormal lab results.",Leucovorin,Inaccurate.
28,My mom accidentally got too much radiation during her thyroid cancer treatment. What medicine should she get right away to avoid any problems from this?,"*1* **Potassium iodide (KI)** should be given right away to help protect the thyroid gland from absorbing any radioactive iodine, which can be released during radiation exposure.

*2* **Thyroid hormone replacement therapy** may be needed to maintain thyroid hormone levels in the body, as radiation exposure can damage or destroy the thyroid gland.

*3* **Symptomatic treatment** for any immediate side effects of radiation exposure, such as anti-nausea medication or pain relievers, may be needed depending on the specific symptoms experienced by the patient.",Potassium iodide,Accurate
29,"Can you help figure out what's causing the tongue twisting, hand, and leg movements in a woman with a history of schizophrenia who recently switched medications?","*1* Tardive dyskinesia: Tardive dyskinesia is a syndrome of abnormal, involuntary movements that can occur with long-term use of antipsychotic medications, especially in individuals with a history of schizophrenia. Switching medications can sometimes trigger or worsen tardive dyskinesia symptoms.

*2* Acute dystonia: Acute dystonia is a severe extrapyramidal side effect that can occur with the use of antipsychotic medications, especially in the first few days of treatment or when changing medications. Symptoms can include tongue twisting, hand, and leg movements.

*3* Neuroleptic malignnt syndrome (NMS): NMS is a rare, but potentially life-threatening, side effect of antipsychotic medications. Symptoms can include muscle rigidity, fever, confusion, and autonomic instability. However, NMS is more commonly associated with older typical antipsychotics rather than newer atypical antipsychotics.",Tardive dyskinesia,Accurate
30,A 48-year-old man with a long history of smoking comes to the doctor for a check-up 6 months after a chest scan showed a small solid spot in his lung. The recent scan shows that the spot has grown bigger. Lymph node involvement on the same side of the lung is also seen. A sample of the lung spot shows some abnormal cells. Other scans show no spread of the abnormal cells to other parts of the body. What should be done next?,"*1* The most plausible next step would be to perform a biopsy of the lymph nodes to confirm the diagnosis of lung cancer and determine the best treatment plan.

*2* It would also be important to discuss lung cancer treatment options with the patient, including surgery, chemotherapy, radiation therapy, or a combination of these treatments, based on the stage and type of lung cancer.

*3* Additionally, it would be essential to refer the patient to a multidisciplinary team of specialists, including oncologists, pulmonologists, and surgeons, to ensure comprehensive and coordinated care for the patient.",Cisplatin-etoposide therapy and radiotherapy,Relevant
31,What changes are expected in the lung tissue of patients who had the flu compared to those who didn't when examined under a microscope?,"*1* The most plausible change expected in the lung tissue of patients who had the flu compared to those who didn't when examined under a microscope is inflammation. Influenza viruses can cause inflammation in the lungs, leading to symptoms such as cough, shortness of breath, and chest discomfort.

*2* Another plausible change expected is the presence of viral particles within the lung tissue of patients who had the flu. The presence of viral particles can indicate an active flu infection and can be visualized under a microscope.

*3* Additionally, patients who had the flu may show signs of tissue damage or necrosis in their lung tissue compared to those who didn't. The flu virus can cause damage to the cells lining the respiratory tract, leading to areas of necrosis or cell death.",Increased type II pneumocytes,Relevant
32,"I'm feeling tired all the time and sometimes just want to stay home. I have a busy schedule, work at a tech start-up, attend grad school part-time, exercise regularly, and hang out with friends on weekends. Lately, I've been feeling low energy. What else can I do to improve my situation besides cutting back on alcohol and marijuana use, based on this information?","*1* 1. Get a full night's sleep: Lack of sufficient sleep can contribute to feeling tired and low energy levels throughout the day. Aim for 7-9 hours of quality sleep each night to improve your energy levels.

*2* 2. Evaluate your diet: Make sure you are consuming a balanced diet with plenty of fruits, vegetables, whole grains, and lean proteins. Consider consulting with a dietitian to make sure your nutritional intake is supporting your busy lifestyle.

*3* 3. Manage stress levels: Juggling a full-time job, part-time grad school, and social activities can be overwhelming and lead to feeling tired all the time. Try incorporating stress-reducing activities such as meditation, yoga, or mindfulness practices into your routine to help improve your energy levels.",She is likely over-exerted and taking the herbal supplements has no proven medical benefit.,Relevant
33,"A 21-year-old woman is in the emergency room after cutting her wrists and later talked to a psychiatrist about her recent suicide attempt, mentioning her possessive ex-boyfriend. Which personality disorder is she likely displaying?","*1* Borderline personality disorder
*2* Dependent personality disorder
*3* Obsessive-compulsive personality disorder",Borderline,Relevant
34,"What could be causing chest pain, fever, and shortness of breath in a 52-year-old woman with kidney disease and a history of heart problems, who missed her dialysis appointments due to traveling internationally?","*1* 1. Pneumonia: Given the symptoms of fever, chest pain, and shortness of breath, pneumonia is a common cause to consider, especially in a patient who missed dialysis appointments and has underlying kidney disease which can weaken the immune system.

*2* 2. Pulmonary embolism: This is a serious condition that can present with chest pain, shortness of breath, and fever. The history of traveling internationally can increase the risk of developing a blood clot which leads to a pulmonary embolism.

*3* 3. Acute coronary syndrome: Given the patient's history of heart problems, chest pain should always be evaluated for cardiac causes, such as a heart attack or unstable angina. It is important not to overlook cardiac causes in this patient population.",Elevated serum levels of nitrogenous waste,Relevant
35,Can you please help me understand what happens in the brain when a medication that affects a specific cell surface receptor is given to someone who has been showing signs of memory loss and confusion?,"*1* When a medication that affects a specific cell surface receptor is given to someone experiencing memory loss and confusion, it is likely that the medication is targeting neurotransmitter receptors in the brain. Neurotransmitter receptors play a crucial role in communication between neurons and are involved in processes related to memory and cognition. By targeting these receptors, the medication may help regulate neurotransmitter function and improve cognitive symptoms such as memory loss and confusion.

*2* Additionally, the medication may impact synaptic transmission in the brain. Synapses are the junctions where neurons communicate with each other, and alterations in synaptic transmission can affect cognitive functions like memory and learning. By modulating synaptic transmission, the medication may enhance communication between neurons and improve cognitive processes in individuals experiencing memory loss and confusion.

*3* Furthermore, the medication may have an impact on neural plasticity, which refers to the brain's ability to reorganize and form new connections between neurons in response to experiences or stimuli. Improving neural plasticity can enhance cognitive functions and potentially help in restoring memory and reducing confusion in individuals with cognitive impairments.",Decreased intracellular calcium,Relevant
36,"My newborn baby is having trouble feeding, vomiting a lot, and seems really tired. The doctor said something about an enzyme test showing an issue with breaking down amino groups. What exactly is needed right away to help with getting rid of these amino groups?","*1* The baby likely has a rare disorder called urea cycle disorder (UCD), in which the body is unable to break down amino acids, leading to a buildup of ammonia in the blood. The immediate and most critical treatment needed to help rid the body of excess ammonia is intravenous administration of sodium benzoate and sodium phenylacetate to help eliminate nitrogen wastes in the form of hippurate and phenylacetylglutamine.

*2* In addition to the intravenous medications, the baby may also need hemodialysis to help remove excess ammonia from the blood. This procedure helps to support the kidneys in filtering out waste products that the body cannot effectively eliminate due to the UCD.

*3* Long-term management of urea cycle disorders often includes a strict low-protein diet to limit the intake of amino acids and protein breakdown products that the body cannot metabolize properly. Consultation with a metabolic specialist and genetic counseling may also be necessary to manage the condition effectively and provide guidance on future pregnancies.","Aspartate
""",Inaccurate.
37,"Is it normal for a 14-year-old boy to be brought to the ER due to a swollen belly and throwing up for a day? When the doctors checked, they found his belly is sore all over but he doesn't have any serious illnesses. They've started giving him fluids through his vein. What should the doctors do next to help him?","1. The doctors should conduct imaging studies such as an abdominal ultrasound or CT scan to evaluate the internal organs and identify any potential causes of the swollen belly and pain. This can help diagnose conditions such as appendicitis, bowel obstruction, or inflammation of the intestine.
   
2. Conduct blood tests to check for indicators of infection or inflammation, such as a complete blood count and inflammatory markers like C-reactive protein or erythrocyte sedimentation rate. These tests can provide additional information to help narrow down the possible causes of the symptoms.

3. Monitor the patient closely for signs of improvement or deterioration, as well as possible complications related to his condition. Continuously reassess his symptoms, vital signs, and response to treatment to ensure appropriate management and timely intervention if needed.",Endoscopy,Inaccurate
38,My face has had acne and spots for 8 years despite using lots of creams. I spend hours on makeup every morning. What other issue should I be checked for besides my skin problems?,"*1* You should be checked for hormone imbalances, as they can contribute to acne and spots that do not respond to topical treatment.
*2* A dermatologist may recommend a food allergy test, as certain foods can exacerbate skin conditions like acne.
*3* It would also be helpful to get a mental health assessment, as stress and anxiety can worsen skin conditions and make them harder to treat.",Major depressive disorder,Relevant.
39,What could be causing the sores in the mouth and blisters on the back of a 46-year-old woman that spread when touched?,"1. The most likely cause of sores in the mouth and blisters on the back of a 46-year-old woman that spread when touched is herpes simplex virus (HSV) infection. This viral infection often presents with painful sores in the mouth and blisters on the skin that can spread upon contact.

2. Another possibility is an autoimmune condition such as pemphigus vulgaris, which can cause blistering and sores on the mucous membranes in the mouth and on the skin. This condition is characterized by the body's immune system mistakenly attacking healthy tissues.

3. It is also important to consider a fungal infection such as oral candidiasis (thrush), which can cause white patches in the mouth and may sometimes lead to the development of sores. Treating the underlying fungal infection can help resolve the symptoms.",Desmosomes,Inaccurate.
40,Why did my gynecologist find something concerning on my pap test this year when it was normal last year?,"*1* The most plausible reason for a concerning finding on a pap test that was normal the previous year is a new infection with a high-risk strain of human papillomavirus (HPV). HPV is a common sexually transmitted infection that can lead to abnormal cell changes in the cervix, which may be detected on a pap smear.

*2* Another plausible reason could be a precancerous or cancerous lesion that has developed in the past year. It is possible for abnormal cell changes to occur relatively quickly, especially in the presence of risk factors such as HPV infection or smoking.

*3* Lastly, technical factors such as sampling errors or issues with the processing of the pap test sample could potentially lead to a concerning finding, although this is less likely compared to the other reasons mentioned.",Dysplasia,Relevant.
41,What should the medical student do next after accidentally pricking herself with a needle while capping it after drawing blood from a patient with HIV?,"*1* The medical student should immediately wash the area with soap and water. This helps reduce the risk of infection from any potential viruses present on the needle.

*2* The medical student should report the incident to their supervisor or occupational health department. It is important to document the exposure and seek further guidance on the next steps to take.

*3* The medical student should seek medical evaluation and consider post-exposure prophylaxis (PEP) for HIV. PEP involves taking antiretroviral medications to reduce the risk of HIV transmission after a potential exposure.",Draw her repeat HIV serology and immediately initiate three-drug antiretroviral therapy,Accurate.
42,"I need help understanding a situation: A 30-year old woman who has one child already, who is currently at 38 weeks pregnant, is having contractions. She didn't get prenatal check-ups because she doesn't have health insurance. After giving birth, her new baby looks yellow and has a visibly large liver and spleen. The baby's hemoglobin level is 11.6 g/dL and bilirubin level is 8 mg/dL. What do these details suggest about the baby's likely condition?","1. The details suggest that the baby likely has *1* Congenital infection, such as congenital cytomegalovirus (CMV) or toxoplasmosis. These infections can cause hepatosplenomegaly (enlarged liver and spleen) and jaundice in newborns.

2. The details indicate a possibility of *2* Hemolytic disease of the newborn, such as ABO or Rh incompatibility. This condition can lead to jaundice, anemia, and an enlarged liver and spleen in newborns.

3. The details may also indicate a potential diagnosis of *3* Biliary atresia. Although less common, biliary atresia can present with jaundice, hepatosplenomegaly, and elevated bilirubin levels in newborns.",The mother generated IgG antibodies against fetal red blood cells,Relevant
43,"Can you tell me what might be causing shoulder pain in a 65-year-old woman who experiences discomfort when reaching for things in her kitchen cabinets, even though she hasn't had any significant injuries?","1. The most plausible cause of the shoulder pain in this 65-year-old woman is **rotator cuff tendinitis**. This condition involves inflammation or irritation of the tendons of the rotator cuff, which can be exacerbated by reaching or lifting movements, such as reaching for items in kitchen cabinets.

2. Another possible cause could be **shoulder impingement syndrome**. This occurs when the rotator cuff tendons or bursa are pinched or compressed in the shoulder joint, leading to pain and discomfort with overhead movements like reaching for objects.

3. A third possible cause could be **osteoarthritis of the shoulder joint**, which is a degenerative condition that can cause pain, stiffness, and limited range of motion in the shoulder. While this condition may not have been directly caused by an injury, it can worsen with certain movements like reaching up to high shelves.",Rotator cuff tendinopathy,Relevant
44,"A 33-year-old woman goes to her regular doctor because she feels tired and queasy. She also noticed that her skin looks darker than before. During the check-up, the doctor sees that she looks a bit yellow, and after some tests, finds out her liver enzymes are high. More tests confirm she has hepatitis B. She's really worried about passing this on to her family. How can hepatitis B spread? Through blood, sexual contact, from mother to baby, and/or through breast milk?","*1* Hepatitis B can be spread through blood. This can happen through sharing needles, syringes, or other equipment used to inject drugs, through needlesticks or sharps exposures on the job, or from an infected mother to her baby during childbirth.

*2* Hepatitis B can be spread through sexual contact. Having unprotected sex with an infected person can increase the risk of getting Hepatitis B.

*3* Hepatitis B can also be spread from an infected mother to her baby during childbirth. This is the reason why babies born to infected mothers are given the Hepatitis B vaccine at birth. Hepatitis B is not typically spread through breast milk, unless there are cracks or bleeding in the mother's nipples.","I, II, III, IV",Relevant
