Index,Question,Response,Answer,Accurate
10,"An individual comes to the physician because of a 4-month history of intermittent lower abdominal cramps associated with diarrhea, bloating, and mild nausea. During this period, there has been a 5-kg (11-lb) weight loss. They feel like they cannot fully empty their bowels and have no history of serious illness. They follow a high-fiber diet. Their father is of Ashkenazi Jewish descent. The individual appears well. Their temperature is 36.9°C (98.5°F), pulse is 90/min, and blood pressure is 130/90 mm Hg. The lungs are clear to auscultation. Cardiac examination shows no murmurs, rubs, or gallops. Abdominal examination shows mild tenderness to palpation in the right lower quadrant without guarding or rebound. Bowel sounds are normal. Test of the stool for occult blood is negative. Their hemoglobin concentration is 10.5 g/dL, leukocyte count is 12,000 mm3, platelet count is 480,000 mm3, and erythrocyte sedimentation rate is 129 mm/h. A barium enema shows ulceration and narrowing of the right colon. Which of the following is the most likely diagnosis?",Crohn's disease.,Crohn disease,Yes
11,"Three days after being admitted to the hospital because of a fall from the roof of a two-story building, a person is being monitored in the intensive care unit. On arrival, the patient was somnolent and not oriented to person, place, or time. A CT scan of the head showed an epidural hemorrhage that was 45 cm3 in size and a midline shift of 7 mm. Emergency surgery was performed with craniotomy and hematoma evacuation on the day of admission. Perioperatively, a bleeding vessel was identified and ligated. Postoperatively, the patient was transferred to the intensive care unit and placed on a ventilator. The temperature is 37°C (98.6°F), pulse is 67/min, and blood pressure is 117/78 mm Hg. The ventilator is set at a FiO2 of 55%, tidal volume of 520 mL, and positive end-expiratory pressure of 5.0 cm H2O. In addition to intravenous administration of fluids, which of the following is the most appropriate next step in managing this patient's nutrition?",Initiate enteral nutrition via a nasogastric tube.,Enteral feeding via nasogastric tube,Yes
12,"A patient with developmental delays presents to their healthcare provider with an ‘itchy rash’ on the flexor surfaces of their knees, elbows, and around their eyelids. The caregiver notes that the rashes have had a relapsing-remitting course since infancy. Vital signs are within normal limits. Physical examination shows hypopigmentation of the patient's skin and hair, as well as a musty odor in their sweat and urine. Based on the patient’s symptoms and history, which of the following is the most appropriate dietary recommendation?",The patient should follow a low-phenylalanine diet.,Avoid meat,Yes
13,An individual presented to a medical clinic for a routine follow-up. This person has had hypertension for 20 years and is currently on multiple anti-hypertensive medications. The blood pressure is 150/100 mm Hg. The remainder of the examinations were within normal limits. Echocardiography showed some changes in the left ventricle. What is the most likely reason for the change?,The changes in the left ventricle are most likely due to long-standing hypertension.,Increase in cardiac cell size,Yes
14,"An individual working in construction presents to the office due to a yellowish discoloration of their skin and eyes for the past 2 weeks. They also report nausea and loss of appetite for the same duration. Their past medical history is insignificant. They are a smoker but recently developed a distaste for smoking. The vital signs include: heart rate 83/min, respiratory rate 13/min, temperature 36.5°C (97.7°F), and blood pressure 111/74 mm Hg. On physical examination, there is mild hepatomegaly. The results of the hepatitis viral panel are as follows:
Anti-HAV IgM positive
HBsAg negative
IgM anti-HBc negative
Anti-HCV negative
HCV-RNA negative
Anti-HDV negative
Anti-HEV negative
What is the most common mode of transmission for this diagnosis?",The most common mode of transmission for this diagnosis is fecal-oral.,Fecal-oral,Yes
15,"A child is brought to the clinic by a caregiver for an annual check-up. The family recently moved from Nebraska and is hoping to establish care. The child is home schooled, and the caregiver is concerned about developmental progress. The child is only able to say 2 to 3 word sentences and has been “behind on learning the alphabet.” The child always seems to be disinterested and ""just seems to be behind.” During the interview, the child is observed to be focused on playing with toys. Physical examination demonstrates a well-nourished child with poor eye contact, a prominent jaw, a single palmar crease, and bilaterally enlarged features. What is the most likely mechanism of this child’s findings?","The most likely mechanism is a genetic condition, such as Fragile X syndrome.",CGG trinucleotide repeat expansion,Yes
16,"An individual is brought to the emergency department because of a 3-day history of increasing shortness of breath and chest pain. They have had a productive cough with foul-smelling sputum for 1 week. The person has gastritis as well as advanced Parkinson disease and currently lives in an assisted-living community. They smoked one pack of cigarettes daily for 40 years but quit 5 years ago. The individual has a 30-year history of alcohol abuse but has not consumed any alcohol in the past 5 years. Their temperature is 39.3°C (102.7°F), they are tachycardic and tachypneic, and their oxygen saturation is 77% on room air. Auscultation of the lung shows rales and decreased breath sounds over the right upper lung field. Examination shows a resting tremor. Laboratory studies show:
Hematocrit 38%
Leukocyte count 17,000/mm3
Platelet count 210,000/mm3
Lactic acid 4.1 mmol/L (N=0.5–1.5)
A chest x-ray shows infiltrates in the right upper lobe. Which of the following is the most significant predisposing factor for this patient's respiratory symptoms?",Advanced Parkinson disease.,"Parkinson disease
""",Yes
17,An individual is brought to the emergency department after being attacked with a knife. Physical examination shows a 4-cm laceration in the midline of the right forearm. An MRI of the right arm shows damage to a nerve that runs between the superficial and deep flexor digitorum muscles. Loss of sensation over which of the following areas is most likely in this patient?,The damage is most likely to cause loss of sensation over the palmar aspect of the lateral three and a half fingers.,Fingertip of the index finger,No
18,"An individual comes to the physician with a 4-month history of progressively worsening fatigue and loss of appetite. Five years ago, this person received a kidney transplant from a living family member. Current medications include sirolimus and mycophenolate. Blood pressure is 150/95 mm Hg. Laboratory studies show normocytic, normochromic anemia and a serum creatinine concentration of 3.1 mg/dL; their vital signs and laboratory studies were normal 6 months ago. Which of the following is the most likely underlying mechanism of this individual's increase in creatinine concentration?",Chronic allograft nephropathy.,CD4+ T cell-mediated intimal smooth muscle proliferation,No
19,"An individual with a past medical history of a gastric sleeve operation for morbid obesity presents for pre-surgical clearance prior to a knee arthroplasty. Work-up reveals a hemoglobin of 8.7 g/dL, hematocrit of 26.1%, and MCV of 106 fL. With concern for folate deficiency, the individual is started on high dose folate supplementation, and follow-up labs are as follows: hemoglobin of 10.1 g/dL, hematocrit of 28.5%, and MCV of 96 fL. This individual is at risk for which long-term complication?",Neurological complications.,Peripheral neuropathy,No
