Index,Question,Response,Answer,Accuracy
10,"A Black/African American boy is brought to the physician because of a 2-day history of cough, fever, and lethargy. He has been admitted to the hospital twice during the past year for pneumonia. He can stand without support but has not started to walk. He speaks in bisyllables. He is at the 3rd percentile for height and 4th percentile for weight. Examination shows diffuse crackles over bilateral lung fields. Abdominal examination shows hepatosplenomegaly. Fundoscopy shows bright red macular spots. Despite being given appropriate antibiotic therapy, the patient dies. A photomicrograph of a section of the spleen obtained during autopsy is shown. Accumulation of which of the following substances is the most likely cause of this patient's condition?",Glucocerebroside,Sphingomyelin,Inaccurate
11,An Asian girl comes to the physician with her father for evaluation of her tall stature. She is concerned because she is taller than all of her friends. Her birth weight and height were within normal limits. Her father is 174 cm (5 ft 7 in) tall; her mother is 162 cm (5 ft 3 in) tall. She is at the 98th percentile for height and 90th percentile for BMI. She has not had her menstrual period yet. Her mother has Graves disease. Vital signs are within normal limits. Examination shows a tall stature with broad hands and feet. There is frontal bossing and protrusion of the mandible. Finger perimetry is normal. The remainder of the examinations shows no abnormalities. Serum studies show a fasting serum glucose of 144 mg/dL. An x-ray of the left hand and wrist shows a bone age of 15 years. Which of the following is most likely to have prevented this patient's condition?,Treatment of maternal hyperglycemia during pregnancy,Transsphenoidal adenomectomy,Inaccurate
12,"An Asian boy presents with progressive lethargy and confusion over the last 5 days. He lives with his parents in a home that was built in the early 1900s. His parents report that ""his tummy has been hurting"" for the last 3 weeks and that he is constipated. He eats and drinks normally, but occasionally tries things that are not food. Abdominal exam shows no focal tenderness. Hemoglobin is 8 g/dL and hematocrit is 24%. Venous lead level is 55 ug/dL. Which therapy is most appropriate for this child’s condition?",Chelation therapy.,Succimer,Relevant
13,"An otherwise healthy Black/African American man comes to the physician for a follow-up visit for elevated blood pressure. Three weeks ago, his blood pressure was 160/80 mmHg. Subsequent home blood pressure measurements at days 5, 10, and 15 found: 165/75 mm Hg, 162/82 mm Hg, and 170/80 mmHg, respectively. He had a cold that was treated with over-the-counter medication 4 weeks ago. Pulse is 72/min and blood pressure is 165/79 mm Hg. Physical examination shows no abnormalities. Laboratory studies, including thyroid function studies, serum electrolytes, and serum creatinine, are within normal limits. Which of the following is the most likely underlying cause of this patient's elevated blood pressure?",Primary hypertension.,Decrease in arterial compliance,Relevant
14,"A White woman comes to the physician because of a 2-week history of diplopia and ocular pain when reading the newspaper. She also has a 3-month history of amenorrhea, hot flashes, and increased sweating. She reports that she has been overweight all her adult life and is happy to have lost 6.8-kg (15-lb) of weight in the past 2 months. Her pulse is 110/min, and blood pressure is 148/98 mm Hg. Physical examination shows moist palms and a nontender thyroid gland that is enlarged to two times its normal size. Ophthalmologic examination shows prominence of the globes of the eyes, bilateral lid retraction, conjunctival injection, and an inability to converge the eyes. There is no pain on movement of the extraocular muscles. Visual acuity is 20/20 bilaterally. Neurologic examination shows a fine resting tremor of the hands. Deep tendon reflexes are 3+ with a shortened relaxation phase. Which of the following is the most likely cause of this patient's ocular complaints?",Graves disease,Glycosaminoglycan accumulation in the orbit,inaccurate
15,"A thymidine kinase-deficient varicella-zoster virus strain has been isolated at a retirement home. Many of the residents, who are Native Hawaiian/Pacific Islander, have been infected with this strain and are experiencing shingles. Which of the following would be the best antiviral agent to treat this population?",Foscarnet,Cidofovir,Relevant
16,"A Black/African American boy is evaluated in the nursery for minimal movement in his left upper limb. He was born at 41 weeks gestation by an assisted forceps-vaginal delivery to an obese woman. Birth weight was 4.4 kg (9.7 lb). The mother had 4 previous vaginal deliveries, all requiring forceps. Examinations of the left upper limb show that the arm hangs by his side and is rotated medially. His forearm is extended and pronated, and his wrist and fingers are flexed. Moro reflex is present only on the right side. Which of the following muscles was spared from the injury sustained during delivery?",Flexor Digitorum Profundus,Triceps,Inaccurate
17,A Black/African American male presents to the emergency room following an altercation with patrons at a local grocery store. He is acting aggressively toward hospital staff and appears to be speaking to non-existent individuals. On examination he is tachycardic and diaphoretic. Horizontal and vertical nystagmus is noted. The patient eventually admits to taking an illegal substance earlier in the evening. Which of the following mechanisms of action is most consistent with the substance this patient took?,NMDA receptor antagonism.,NMDA receptor antagonist,accurate
18,"A White man comes to the clinic complaining of shoulder pain for the past week. He is a pitcher for the baseball team at his university and reports that the pain started shortly after a game. The pain is described as achy and dull, intermittent, 7/10, and is concentrated around the right shoulder area. He denies any significant medical history, trauma, fever, recent illness, or sensory changes but endorses some difficulty lifting his right arm. A physical examination demonstrates mild tenderness of the right shoulder. When the patient is instructed to resist arm depression when holding his arms parallel to the floor with the thumbs pointing down, he reports significant pain of the right shoulder. Strength is 4/5 on the right and 5/5 on the left with abduction of the upper extremities. What nerve innervates the injured muscle in this patient?",The suprascapular nerve.,Suprascapular nerve,accurate
19,A White man comes to the physician for a wellness visit. Physical examination shows an enlarged and nodular prostate. Laboratory studies show elevated levels of prostate-specific antigen. A prostate biopsy confirms the diagnosis of prostate cancer and a radical prostatectomy is planned. This patient should be counseled on the increased risk of injury to which of the following structures?,Pelvic autonomic nerves.,Cavernous nerve,relevant
