Index,Question,Response,Answer,Accuracy
10,"A previously healthy 64-year-old American Indian/Alaska Native man comes to the physician 3 days after noticing a lump in his right groin while he was bathing. He has no history of trauma to the region. He has hypercholesterolemia and hypertension treated with atorvastatin and labetalol. He has smoked 2 packs of cigarettes daily for 35 years. His vital signs are within normal limits. Examination shows a 4-cm (1.6-in), nontender, pulsatile mass with a palpable thrill at the right midinguinal point. On auscultation, a harsh continuous murmur is heard over the mass. Femoral and pedal pulses are palpable bilaterally. The remainder of the examination shows no abnormalities. Which of the following is the most likely diagnosis?",Femoral artery aneurysm.,Femoral artery aneurysm,accurate
11,"A 21-year-old Asian girl with a history of bipolar disorder, now in a depressive episode, presents to the emergency in distress. She reports that she wanted to ""end it all"" and swallowed a full bottle of acetaminophen. However, regretting what it would do to her parents, she decided that she wants to live. She appears in no acute distress and clearly states she swallowed the pills one hour ago. What is the most appropriate next step in management?",Administer activated charcoal and obtain serum acetaminophen levels.,Give activated charcoal and draw a serum acetaminophen level in three hours,Relevant
12,"A 53-year-old Asian woman is brought to the emergency department by her husband because of difficulty walking, slurred speech, and progressive drowsiness. The husband reports that his wife has appeared depressed over the past few days. She has a history of insomnia and social anxiety disorder. She appears lethargic. Her temperature is 36.2°C (97.1°F), pulse is 88/min, respirations are 12/min, and blood pressure is 110/80 mm Hg. Neurologic examination shows normal pupils. There is diffuse hypotonia and decreased deep tendon reflexes. Administration of a drug that acts as a competitive antagonist at which of the following receptors is most likely to reverse this patient's symptoms?",Gamma-aminobutyric acid (GABA) receptors.,GABAA receptor,relevant
13,"A 12-year-old American Indian/Alaska Native boy is brought to the physician because of a 6-day history of gradually worsening left knee pain. The pain is exacerbated by movement and kneeling. There is no pain at rest and no history of trauma to the knee. He is concerned because his soccer tryouts are in a few days. Vital signs are within normal limits. Examination shows mild swelling and tenderness to palpation of the left anterior, superior tibia. Extension of the left knee against resistance reproduces the knee pain; flexion is limited by pain. There is no local erythema or effusion of the left knee. A lateral view of an x-ray of his left knee is shown. Which of the following is the most likely underlying cause of this patient's symptoms?",Tibial tubercle apophysitis (Osgood-Schlatter disease),Traction apophysitis of the tibial tubercle,accurate
14,"A 47-year-old Asian woman comes to her primary care doctor because of a new, pruritic rash. She was gardening in her yard two days ago and now has an eczematous papulovesicular rash on both ankles. You also note a single, 5 mm brown lesion with a slightly raised border on her left thigh. You prescribe a topical corticosteroid for contact dermatitis. Which of the following is the appropriate next step for the thigh lesion?",Perform a biopsy.,Further questioning,Inaccurate
15,"A 20-year-old White college student presents to the emergency room complaining of insomnia for the past 48 hours. He explains that although his body feels tired, he is ""full of energy and focus"" after taking a certain drug an hour ago. He now wants to sleep because he is having hallucinations. His vital signs are T 100.0 F, HR 110 bpm, and BP of 150/120 mmHg. The patient states that he was recently diagnosed with ""inattentiveness."" Which of the following is the mechanism of action of the most likely drug causing the intoxication?","The most likely drug causing the intoxication is a stimulant, such as amphetamine or methylphenidate, which increases synaptic concentrations of norepinephrine and dopamine by promoting their release and inhibiting their reuptake.",Increases presynaptic dopamine and norepinephrine releases from vesicles,Relevant
16,"Five minutes after arriving in the postoperative care unit following total knee replacement under general anesthesia, a 55-year-old White woman is acutely short of breath. The procedure was uncomplicated. Postoperatively, prophylactic treatment with cefazolin was begun and the patient received morphine and ketorolac for pain management. She has generalized anxiety disorder. Her only other medication is escitalopram. She has smoked one pack of cigarettes daily for 25 years. Her temperature is 37°C (98.6°F), pulse is 108/min, respirations are 26/min, and blood pressure is 95/52 mm Hg. A flow-volume loop obtained via pulmonary function testing is shown. Which of the following is the most likely underlying cause of this patient's symptoms?",Pulmonary embolism.,Type I hypersensitivity reaction,Inaccurate.
17,A 2-year-old White girl is brought to the emergency department by her mother because the girl has had a cough and shortness of breath for the past 2 hours. Her symptoms began shortly after she was left unattended while eating watermelon. She appears anxious and mildly distressed. Examination shows intercostal retractions and unilateral diminished breath sounds with inspiratory wheezing. Flexible bronchoscopy is most likely to show a foreign body in which of the following locations?,Right mainstem bronchus,Right intermediate bronchus,Relevant
18,"A 17-year-old Asian girl presents to her pediatrician for a wellness visit. She currently feels well but is concerned that she has not experienced menarche. She reports to recently developing headaches and describes them as pulsating, occurring on the left side of her head, associated with nausea, and relieved by ibuprofen. She is part of the school’s rugby team and competitively lifts weights. She is currently sexually active and uses condoms infrequently. She denies using any forms of contraception or taking any medications. Her temperature is 98.6°F (37°C), blood pressure is 137/90 mmHg, pulse is 98/min, and respirations are 17/min. On physical exam, she has normal breast development and pubic hair is present. A pelvic exam is performed. A urine hCG test is negative. Which of the following is the best next step in management?","Measure serum prolactin, FSH, and LH levels.",Pelvic ultrasound,Relevant
19,"A 36-year-old G1P0 Native Hawaiian/Pacific Islander woman in her 12th week of pregnancy presents to her obstetrician with vaginal bleeding. She also reports 3 episodes of non-bloody, non-bilious emesis. She failed to show up for her last 2 prenatal visits due to work. Her past medical history is notable for obesity and type I diabetes mellitus. Her family history is notable for ovarian cancer in her mother and endometrial cancer in her maternal grandmother. On examination, her uterus is at 16 weeks in size and she has mild tenderness to palpation on her right suprapubic region. A transvaginal ultrasound in this patient would most likely reveal which of the following?","A heterogenous mass with multiple anechoic spaces (""snowstorm"" pattern).",Intrauterine cystic mass,inaccurate
