Index,Question,Response,Answer,Accuracy
10,"A 42-year-old man with hypertension and type 2 diabetes mellitus is admitted to the hospital because of swelling and redness of the left leg for 3 days. He has chills and malaise. He is treated with intravenous clindamycin for 7 days. On the 8th day at the hospital, he has profuse, foul-smelling, and watery diarrhea. He has nausea and intermittent abdominal cramping. His temperature is 38°C (100.4°F), pulse is 97/min, and blood pressure is 110/78 mm Hg. Bowel sounds are hyperactive. Abdominal examination shows mild tenderness in the left lower quadrant. Rectal examination shows no abnormalities. His hemoglobin concentration is 14.3 g/dL, leukocyte count is 12,300/mm3, and C-reactive protein concentration is 62 mg/L (N=0.08–3.1). After discontinuing clindamycin, which of the following is the most appropriate pharmacotherapy for this patient's condition?","*1*  Metronidazole - This patient is likely experiencing pseudomembranous colitis, a condition caused by Clostridioides difficile infection. Metronidazole is one of the first-line antibiotics for the treatment of C. difficile infection.

*2*  Vancomycin - In cases where metronidazole is contraindicated or not tolerated, vancomycin is an alternative first-line antibiotic for the treatment of C. difficile infection.

*3*  Fidaxomicin - Fidaxomicin is another antibiotic that can be used to treat C. difficile infection, particularly in cases of recurrence or when vancomycin or metronidazole are not suitable.",Oral fidaxomicin,Relevant.
11,"A 51-year-old man presents to his physician with increased thirst, frequent urination, and fatigue. These symptoms have increased gradually over the past 3 years. He has no past medical history or current medications. Also, he has no family history of endocrinological or cardiovascular diseases. The blood pressure is 140/90 mm Hg, and the heart rate is 71/min. The patient is afebrile. The BMI is 35.4 kg/m2. On physical examination, there is an increased adipose tissue over the back of the neck, and hyperpigmentation of the axilla and inguinal folds. Which of the following laboratory results is diagnostic of this patient’s most likely condition?","*1*  Hyperglycemia with increased HbA1c levels
*2*  Hyperkalemia and hyponatremia
*3*  Elevated morning cortisol levels",Plasma glucose of 209 mg/dL 2 hours after the oral glucose load,Inaccurate
12,"An otherwise healthy 14-year-old girl is brought to the emergency room by her father because of excessive thirst, excessive urination, and weight loss. Her symptoms started acutely 5 days ago. Vital signs reveal a temperature of 36.6°C (97.8°F), blood pressure of 100/65 mm Hg, and pulse of 105/min. Physical examination shows a thin girl with dry mucous membranes but normal skin turgor. Laboratory results are shown:
Random blood sugar 410 mg/dL
C-peptide     undetectable
Serum beta-hydroxybutyrate negative
Which of the following is the best initial therapy for this patient?","*1* 1. Intravenous normal saline 
2. Insulin infusion
3. Oral rehydration solution

The patient presents with symptoms of hyperglycemia and ketoacidosis, consistent with a diagnosis of new-onset type 1 diabetes mellitus. The best initial therapy for this patient is to start with intravenous normal saline to correct any dehydration and electrolyte imbalances. Once stabilized, insulin infusion should be started for glycemic control. Oral rehydration solution is not the best initial therapy in this case as the patient is likely too dehydrated to tolerate oral fluids.",Basal-bolus insulin,Accurate.
13,"A physician scientist is looking for a more efficient way to treat HIV. Patients infected with HIV mount a humoral immune response by producing antibodies against the HIV envelope proteins. These antibodies are the same antibodies detected by the ELISA and western blot assays used to diagnose the disease. The physician scientist is trying to generate a new, more potent antibody against the same HIV envelope proteins targeted by the natural humoral immune response. Of the following proteins, which is the most likely target of the antibody he is designing?","*1* HIV envelope protein gp120  
*2* HIV reverse transcriptase  
*3* HIV integrase",gp120,accurate
14,"A 43-year-old woman presents to her primary care provider with shortness of breath. She reports a 4-month history of progressively worsening difficulty breathing with associated occasional chest pain. She is a long-distance runner but has had trouble running recently due to her breathing difficulties. Her past medical history is notable for well-controlled hypertension for which she takes hydrochlorothiazide. She had a tibial osteosarcoma lesion with pulmonary metastases as a child and successfully underwent chemotherapy and surgical resection. She has a 10 pack-year smoking history but quit 15 years ago. She drinks a glass of wine 3 times per week. Her temperature is 98.6°F (37°C), blood pressure is 140/85 mmHg, pulse is 82/min, and respirations are 18/min. On exam, she has increased work of breathing with a normal S1 and loud P2. An echocardiogram in this patient would most likely reveal which of the following?","*1*  *Pulmonary hypertension*: Given the patient's history of osteosarcoma with pulmonary metastases as a child and the current presentation of progressively worsening shortness of breath and occasional chest pain, pulmonary hypertension is a likely consideration. The loud P2 sound on physical exam is suggestive of increased pressure in the pulmonary artery.

*2*  *Right ventricular hypertrophy*: Pulmonary hypertension can lead to right ventricular hypertrophy as the right ventricle works harder to pump blood against the increased pressure in the pulmonary circulation. This could be seen on an echocardiogram in this patient.

*3*  *Pericardial effusion*: While pericardial effusion is a possible finding on echocardiogram in certain conditions, given the patient's presentation and history of pulmonary metastases, pulmonary hypertension and right ventricular hypertrophy are more likely considerations in this case.",Right ventricular hypertrophy with a dilated pulmonary artery,Relevant
15,"A 68-year-old man presents with urinary retention for the past week. He says his symptoms onset gradually almost immediately after being prescribed a new medication for his depression. He states that he has increased his fluid intake to try to help the issue, but this has been ineffective. He also mentions that he has been having problems with constipation and dry mouth. His past medical history is significant for major depressive disorder, diagnosed 6 months ago. The patient denies any history of smoking, alcohol consumption, or recreational drug use. He is afebrile, and his vital signs are within normal limits. A physical examination is unremarkable. A urinalysis is normal. Which of the following medications was this patient most likely prescribed for his depression?","1. *1* Amitriptyline: Amitriptyline is a tricyclic antidepressant that is known to have anticholinergic side effects, including urinary retention, constipation, and dry mouth. These symptoms suggest that the patient may be experiencing anticholinergic toxicity due to amitriptyline.

2. *2* Imipramine: Similar to amitriptyline, imipramine is a tricyclic antidepressant with anticholinergic properties. It can also cause urinary retention, constipation, and dry mouth.

3. *3* Paroxetine: Paroxetine is a selective serotonin reuptake inhibitor (SSRI) commonly used to treat depression. While SSRIs can have side effects, they are less likely to cause urinary retention compared to tricyclic antidepressants.",Amitriptyline,Relevant
16,"A 74-year-old man presents to the emergency department with sudden onset of abdominal pain that is most felt around the umbilicus. The pain began 16 hours ago and has no association with meals. He has not been vomiting, but he has had several episodes of bloody loose bowel movements. He was hospitalized 1 week ago for an acute myocardial infarction. He has had diabetes mellitus for 35 years and hypertension for 20 years. He has smoked 15–20 cigarettes per day for the past 40 years. His temperature is 36.9°C (98.4°F), blood pressure is 95/65 mm Hg, and pulse is 95/min. On physical examination, the patient is in severe pain, there is a mild periumbilical tenderness, and a bruit is heard over the epigastric area. Which of the following is the most likely diagnosis?","1. Mesenteric ischemia
2. Acute mesenteric venous thrombosis
3. Acute pancreatitis",Acute mesenteric ischemia,Relevant
17,A 56-year-old man with type 2 diabetes mellitus comes to the physician for a follow-up examination. He reports that he has been compliant with his current antidiabetic medication regimen. His hemoglobin A1c concentration is 8.5%. The physician prescribes a drug that reversibly inhibits a membrane-bound enzyme that hydrolyzes carbohydrate bonds. Which of the following drugs was most likely added to this patient's medication regimen?,"*1*  Acarbose \
*2* Miglitol \
*3* Voglibose",Miglitol,accurate
18,"In a lab experiment, a researcher treats early cells of the erythrocyte lineage with a novel compound called Pb82. Pb82 blocks the first step of heme synthesis. However, the experiment is controlled such that the cells otherwise continue to develop into erythrocytes. At the end of the experiment, the cells have developed into normal erythrocytes except that they are devoid of heme. A second compound, anti-Pb82 is administered which removes the effect of Pb82.

Which of the following is likely to be true of the mature red blood cells in this study?","*1*  The red blood cells would be smaller than normal. 
*2*  The red blood cells would have an increased susceptibility to oxidative stress. 
*3*  The red blood cells would have a shorter lifespan than normal.",The cells will not produce heme since they lack mitochondria,Relevant
19,"A 45-year-old man in respiratory distress presents to the emergency department. He sustained a stab to his left chest and was escorted to the nearest hospital. The patient appears pale and has moderate difficulty with breathing. His O2 saturation is 94%. The left lung is dull to percussion. CXRs are ordered and confirm the likely diagnosis. His blood pressure is 95/57 mm Hg, the respirations are 22/min, the pulse is 87/min, and the temperature is 36.7°C (98.0°F). His chest X-ray is shown. Which of the following is the next best step in management for this patient?","*1* 1. **Immediate needle decompression**: This patient presents with signs and symptoms consistent with a tension pneumothorax. The immediate management of a tension pneumothorax is needle decompression to relieve the pressure in the pleural space and prevent further deterioration.

*2* 2. **Emergent chest tube placement**: Once the patient has been stabilized with needle decompression, the next step would be to place a chest tube to fully drain the pleural space of air and prevent recurrence of the tension pneumothorax.

*3* 3. **Close monitoring and oxygen therapy**: While oxygen therapy is important in this patient, the immediate priority is decompression of the tension pneumothorax. Monitoring the patient closely for any signs of deterioration is important, but the main intervention should be decompression followed by chest tube placement.",Chest tube insertion,Relevant.
